method,depth,eligible_N,representable_N,entered_by_max_budget_N,censored_above_max_budget_N,max_budget,min_entry_budget,p25_entry_budget,median_entry_budget,p75_entry_budget,max_observed_entry_budget
Unary-FullMass,1,1913,1909,1902,7,256,1.0,1.0,1.0,1.0,195.0
Unary-FullMass,2,1909,1862,1800,62,256,2.0,2.0,2.0,2.0,253.0
Unary-FullMass,3,1902,1760,1598,162,256,3.0,3.0,3.0,9.0,254.0
Unary-FullMass,4,1898,1647,1397,250,256,4.0,4.0,4.0,30.0,255.0
Unary-FullMass,5,1895,1538,1228,310,256,5.0,5.0,8.0,95.5,250.0
Unary-FullMass,6,1895,1412,1057,355,256,6.0,6.0,12.5,>256,256.0
Unary-FullMass,7,1887,1286,873,413,256,7.0,7.0,24.0,>256,252.0
Unary-Truncated,1,1913,1909,1901,8,256,1.0,1.0,1.0,1.0,244.0
Unary-Truncated,2,1909,1862,1790,72,256,2.0,2.0,2.0,2.0,251.0
Unary-Truncated,3,1902,1760,1587,173,256,3.0,3.0,3.0,10.0,249.0
Unary-Truncated,4,1898,1647,1391,256,256,4.0,4.0,4.0,31.0,254.0
Unary-Truncated,5,1895,1538,1224,314,256,5.0,5.0,7.5,98.75,246.0
Unary-Truncated,6,1895,1412,1058,354,256,6.0,6.0,12.0,>256,254.0
Unary-Truncated,7,1887,1286,881,405,256,7.0,7.0,24.0,>256,253.0
Pairwise-MassPreserving,1,1913,1909,1907,2,256,1.0,1.0,1.0,1.0,225.0
Pairwise-MassPreserving,2,1909,1862,1849,13,256,2.0,2.0,2.0,2.0,246.0
Pairwise-MassPreserving,3,1902,1760,1724,36,256,3.0,3.0,3.0,7.0,256.0
Pairwise-MassPreserving,4,1898,1647,1579,68,256,4.0,4.0,4.0,11.0,256.0
Pairwise-MassPreserving,5,1895,1538,1428,110,256,5.0,5.0,5.0,20.0,249.0
Pairwise-MassPreserving,6,1895,1412,1277,135,256,6.0,6.0,9.0,31.0,255.0
Pairwise-MassPreserving,7,1887,1286,1111,175,256,7.0,7.0,11.0,50.0,255.0
Pairwise-after-root,1,1913,1909,1904,5,256,1.0,1.0,1.0,1.0,250.0
Pairwise-after-root,2,1909,1862,1849,13,256,2.0,2.0,2.0,2.0,231.0
Pairwise-after-root,3,1902,1760,1725,35,256,3.0,3.0,3.0,7.0,256.0
Pairwise-after-root,4,1898,1647,1580,67,256,4.0,4.0,4.0,11.0,247.0
Pairwise-after-root,5,1895,1538,1441,97,256,5.0,5.0,5.0,19.0,249.0
Pairwise-after-root,6,1895,1412,1285,127,256,6.0,6.0,9.0,31.0,256.0
Pairwise-after-root,7,1887,1286,1120,166,256,7.0,7.0,11.0,47.75,251.0
