method,budget,mean_direct_observation_censored_depth,ci_low,ci_high
Unary-FullMass,1,0.8860428646105594,0.869177702996092,0.902887274679508
Unary-FullMass,2,1.628855201254574,1.5917382406063565,1.6682074987159734
Unary-FullMass,4,2.739153162571877,2.6438203957313196,2.84139102719026
Unary-FullMass,7,3.7637219027705173,3.598620360255772,3.9375643235315256
Unary-FullMass,8,3.846314688970204,3.677397559953685,4.022551900618852
Unary-FullMass,16,4.076842655514898,3.903707779637513,4.25683247115002
Unary-FullMass,32,4.214323052796654,4.040057537686455,4.396838589552846
Unary-FullMass,64,4.302665969681129,4.1374107878628275,4.476581610925147
Unary-FullMass,128,4.366962885520126,4.201820033945769,4.537567042334209
Unary-FullMass,256,4.407736539466806,4.247188289179166,4.575358505003116
Unary-Truncated,1,0.8860428646105594,0.869177702996092,0.902887274679508
Unary-Truncated,2,1.629900679560899,1.5927861996863566,1.6692424323333699
Unary-Truncated,4,2.7360167276529013,2.639671714714277,2.839761141847908
Unary-Truncated,7,3.759539989545217,3.5926236433999743,3.9351303590519944
Unary-Truncated,8,3.8358599059069522,3.666508777670413,4.014337518079855
Unary-Truncated,16,4.076319916361736,3.901322395227912,4.257888243860357
Unary-Truncated,32,4.206481965499216,4.033110631115615,4.387254146025484
Unary-Truncated,64,4.300052273915316,4.1326980433344636,4.475560545237073
Unary-Truncated,128,4.362780972294825,4.196390314449805,4.534873252456419
Unary-Truncated,256,4.404077365394668,4.24249007228211,4.572713830175058
Pairwise-MassPreserving,1,0.8855201254573968,0.8677599144451055,0.9032794853682279
Pairwise-MassPreserving,2,1.6513329848405645,1.6095035674257128,1.694306721044278
Pairwise-MassPreserving,4,2.8358599059069522,2.745488881770957,2.9329064838495786
Pairwise-MassPreserving,7,3.996340825927862,3.8348722787255975,4.169218918571795
Pairwise-MassPreserving,8,4.102456874019864,3.9353110071215087,4.27678894234448
Pairwise-MassPreserving,16,4.319393622582331,4.157366168139255,4.4902403727867375
Pairwise-MassPreserving,32,4.416100365917408,4.255200421601441,4.586084470538438
Pairwise-MassPreserving,64,4.47569262937794,4.315300546448087,4.643791780410765
Pairwise-MassPreserving,128,4.507579717720858,4.350576190031542,4.673450090432666
Pairwise-MassPreserving,256,4.526921066387873,4.371580074387628,4.690998218221549
Pairwise-after-root,1,0.8860428646105594,0.869177702996092,0.902887274679508
Pairwise-after-root,2,1.6387872451646628,1.598632051746156,1.6801223018470997
Pairwise-after-root,4,2.8248823836905386,2.7326526615868283,2.9217792515802525
Pairwise-after-root,7,3.9848405645582856,3.820184548916163,4.157612505141917
Pairwise-after-root,8,4.094093047569263,3.9249566043206117,4.267468264467122
Pairwise-after-root,16,4.320439100888657,4.158846395539944,4.491095390500741
Pairwise-after-root,32,4.416100365917408,4.255318150503709,4.587093898557106
Pairwise-after-root,64,4.474124411918453,4.3132189027430385,4.64385413390016
Pairwise-after-root,128,4.504443282801882,4.347264961579979,4.670216912287352
Pairwise-after-root,256,4.524830109775222,4.368420364097056,4.689898596211401
DFlash2-GreedyPath,1,0.8855201254573968,0.8677599144451055,0.9032794853682279
DFlash2-GreedyPath,2,1.6382645060115002,1.5962124655111032,1.6819566699043835
DFlash2-GreedyPath,4,2.801881860951385,2.705058542828073,2.905612484830097
DFlash2-GreedyPath,7,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,8,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,16,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,32,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,64,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,128,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,256,3.9059069524307373,3.731806773004639,4.0903507791782125
Oracle-Lattice,1,0.9979090433873498,0.9957513914493877,0.9995007488766849
Oracle-Lattice,2,1.8745426032409827,1.854420075058409,1.8946029458002582
Oracle-Lattice,4,3.2253005750130685,3.1531772463510603,3.3010994041563726
Oracle-Lattice,7,4.533193936225823,4.378274139615097,4.697279989850023
Oracle-Lattice,8,4.533193936225823,4.378274139615097,4.697279989850023
Oracle-Lattice,16,4.533193936225823,4.378274139615097,4.697279989850023
Oracle-Lattice,32,4.533193936225823,4.378274139615097,4.697279989850023
Oracle-Lattice,64,4.533193936225823,4.378274139615097,4.697279989850023
Oracle-Lattice,128,4.533193936225823,4.378274139615097,4.697279989850023
Oracle-Lattice,256,4.533193936225823,4.378274139615097,4.697279989850023
