baseline,budget,mean_paired_difference,ci_low,ci_high,bootstrap_probability_positive
Unary-FullMass,1,-0.0005227391531625719,-0.007968226744243752,0.007042444471601843,0.4136
Unary-FullMass,2,0.02247778358599059,0.009961124021137071,0.034425364069151705,0.9998
Unary-FullMass,4,0.0967067433350758,0.07407407407407407,0.12078364929695501,1.0
Unary-FullMass,7,0.23261892315734448,0.1967903356134021,0.26917413054804246,1.0
Unary-FullMass,8,0.25614218504966024,0.2237181102559533,0.2905854483130027,1.0
Unary-FullMass,16,0.24255096706743334,0.21265546025511659,0.27152009019690687,1.0
Unary-FullMass,32,0.20177731312075275,0.17355660668014616,0.23062090503275973,1.0
Unary-FullMass,64,0.1730266596968113,0.15208657745176307,0.19310796925324047,1.0
Unary-FullMass,128,0.14061683220073184,0.11898432412119686,0.16190489258271915,1.0
Unary-FullMass,256,0.11918452692106639,0.10063174879018512,0.13836797454723665,1.0
Unary-Truncated,1,-0.0005227391531625719,-0.007968226744243752,0.007042444471601843,0.4136
Unary-Truncated,2,0.021432305279665446,0.00902789381205321,0.03344823915431409,0.9997
Unary-Truncated,4,0.09984317825405123,0.07663946937586423,0.12411163308851257,1.0
Unary-Truncated,7,0.23680083638264507,0.2001075350204178,0.27358084226358337,1.0
Unary-Truncated,8,0.26659696811291167,0.23408547011714936,0.3008725238992554,1.0
Unary-Truncated,16,0.24307370622059593,0.2131629020316606,0.27272839174611696,1.0
Unary-Truncated,32,0.20961840041819133,0.1829256946875689,0.23614615935622507,1.0
Unary-Truncated,64,0.17564035546262416,0.15313750989154215,0.19785688296202772,1.0
Unary-Truncated,128,0.1447987454260324,0.12195121951219512,0.16753954461921128,1.0
Unary-Truncated,256,0.1228437009932044,0.10424886304109719,0.14191229828786026,1.0
