budget,mean_equal_prompt_paired_difference,ci_low,ci_high,bootstrap_probability_positive,prompts_positive,prompts_tied,prompts_negative
1,0.0009630787183459203,-0.007138214673357522,0.00931430962445918,0.5823,11,8,13
2,0.01360476158514245,-0.0014042703598724695,0.028922894668974512,0.9618,16,8,8
4,0.07006453666797922,0.04290724125186878,0.10020340431642381,1.0,24,3,5
7,0.22041194316973636,0.16379802807467855,0.2747688424812135,1.0,29,1,2
8,0.2711967339450635,0.21993851806485415,0.32312187555409966,1.0,31,0,1
16,0.43073565674580794,0.357154351182852,0.50015372677384,1.0,31,0,1
32,0.48051209348954654,0.42425331511427455,0.5360240505898115,1.0,32,0,0
64,0.5411118778419509,0.48439196749946944,0.5988666928011203,1.0,32,0,0
128,0.5450323375674668,0.4895813198532164,0.6034291998767984,1.0,32,0,0
256,0.5341575614752594,0.48314331698112084,0.5875384375799537,1.0,32,0,0
