scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
realized,Unary-FullMass,1,1,1913,1695,4,214,0.0020909566126502874,0.11186617877679038
realized,Unary-FullMass,1,2,1909,0,47,1862,0.02462022001047669,0.9753797799895233
realized,Unary-FullMass,1,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Unary-FullMass,1,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Unary-FullMass,1,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Unary-FullMass,1,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Unary-FullMass,1,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Unary-FullMass,2,1,1913,1731,4,178,0.0020909566126502874,0.0930475692629378
realized,Unary-FullMass,2,2,1909,1404,47,458,0.02462022001047669,0.2399161864850707
realized,Unary-FullMass,2,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Unary-FullMass,2,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Unary-FullMass,2,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Unary-FullMass,2,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Unary-FullMass,2,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Unary-FullMass,4,1,1913,1772,4,137,0.0020909566126502874,0.07161526398327235
realized,Unary-FullMass,4,2,1909,1488,47,374,0.02462022001047669,0.1959140911471975
realized,Unary-FullMass,4,3,1902,1161,142,599,0.07465825446898001,0.314931650893796
realized,Unary-FullMass,4,4,1898,910,251,737,0.1322444678609062,0.3883034773445732
realized,Unary-FullMass,4,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Unary-FullMass,4,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Unary-FullMass,4,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Unary-FullMass,7,1,1913,1817,4,92,0.0020909566126502874,0.04809200209095661
realized,Unary-FullMass,7,2,1909,1558,47,304,0.02462022001047669,0.15924567836563647
realized,Unary-FullMass,7,3,1902,1265,142,495,0.07465825446898001,0.26025236593059936
realized,Unary-FullMass,7,4,1898,1026,251,621,0.1322444678609062,0.32718651211801897
realized,Unary-FullMass,7,5,1895,766,357,772,0.18839050131926122,0.40738786279683376
realized,Unary-FullMass,7,6,1895,578,483,834,0.25488126649076515,0.44010554089709764
realized,Unary-FullMass,7,7,1887,437,601,849,0.3184949655537891,0.44992050874403816
realized,Unary-FullMass,8,1,1913,1831,4,78,0.0020909566126502874,0.04077365394668061
realized,Unary-FullMass,8,2,1909,1577,47,285,0.02462022001047669,0.1492928234677842
realized,Unary-FullMass,8,3,1902,1289,142,471,0.07465825446898001,0.2476340694006309
realized,Unary-FullMass,8,4,1898,1057,251,590,0.1322444678609062,0.3108535300316122
realized,Unary-FullMass,8,5,1895,805,357,733,0.18839050131926122,0.38680738786279684
realized,Unary-FullMass,8,6,1895,616,483,796,0.25488126649076515,0.42005277044854883
realized,Unary-FullMass,8,7,1887,461,601,825,0.3184949655537891,0.43720190779014306
realized,Unary-FullMass,16,1,1913,1864,4,45,0.0020909566126502874,0.023523261892315735
realized,Unary-FullMass,16,2,1909,1650,47,212,0.02462022001047669,0.11105290728129912
realized,Unary-FullMass,16,3,1902,1394,142,366,0.07465825446898001,0.19242902208201892
realized,Unary-FullMass,16,4,1898,1173,251,474,0.1322444678609062,0.24973656480505796
realized,Unary-FullMass,16,5,1895,958,357,580,0.18839050131926122,0.30606860158311344
realized,Unary-FullMass,16,6,1895,761,483,651,0.25488126649076515,0.34353562005277044
realized,Unary-FullMass,16,7,1887,587,601,699,0.3184949655537891,0.37042925278219396
realized,Unary-FullMass,32,1,1913,1879,4,30,0.0020909566126502874,0.015682174594877155
realized,Unary-FullMass,32,2,1909,1710,47,152,0.02462022001047669,0.07962283918281823
realized,Unary-FullMass,32,3,1902,1456,142,304,0.07465825446898001,0.1598317560462671
realized,Unary-FullMass,32,4,1898,1250,251,397,0.1322444678609062,0.20916754478398314
realized,Unary-FullMass,32,5,1895,1054,357,484,0.18839050131926122,0.2554089709762533
realized,Unary-FullMass,32,6,1895,873,483,539,0.25488126649076515,0.28443271767810024
realized,Unary-FullMass,32,7,1887,687,601,599,0.3184949655537891,0.3174350821409645
realized,Unary-FullMass,64,1,1913,1889,4,20,0.0020909566126502874,0.010454783063251438
realized,Unary-FullMass,64,2,1909,1749,47,113,0.02462022001047669,0.05919329491880566
realized,Unary-FullMass,64,3,1902,1519,142,241,0.07465825446898001,0.12670872765509988
realized,Unary-FullMass,64,4,1898,1305,251,342,0.1322444678609062,0.18018967334035826
realized,Unary-FullMass,64,5,1895,1119,357,419,0.18839050131926122,0.22110817941952507
realized,Unary-FullMass,64,6,1895,944,483,468,0.25488126649076515,0.24696569920844327
realized,Unary-FullMass,64,7,1887,755,601,531,0.3184949655537891,0.28139904610492844
realized,Unary-FullMass,128,1,1913,1897,4,12,0.0020909566126502874,0.006272869837950863
realized,Unary-FullMass,128,2,1909,1775,47,87,0.02462022001047669,0.045573598742797275
realized,Unary-FullMass,128,3,1902,1563,142,197,0.07465825446898001,0.10357518401682439
realized,Unary-FullMass,128,4,1898,1358,251,289,0.1322444678609062,0.15226554267650158
