scope,method,budget,depth,hits,N,coverage
realized,Unary-FullMass,1,7,0,1887,0.0
realized,Unary-FullMass,2,7,0,1887,0.0
realized,Unary-FullMass,4,7,0,1887,0.0
realized,Unary-FullMass,7,7,437,1887,0.23158452570217275
realized,Unary-FullMass,8,7,461,1887,0.24430312665606782
realized,Unary-FullMass,16,7,587,1887,0.31107578166401695
realized,Unary-FullMass,32,7,687,1887,0.3640699523052464
realized,Unary-FullMass,64,7,755,1887,0.40010598834128247
realized,Unary-FullMass,128,7,819,1887,0.43402225755166934
realized,Unary-FullMass,256,7,873,1887,0.4626391096979332
realized,Unary-Truncated,1,7,0,1887,0.0
realized,Unary-Truncated,2,7,0,1887,0.0
realized,Unary-Truncated,4,7,0,1887,0.0
realized,Unary-Truncated,7,7,443,1887,0.23476417594064652
realized,Unary-Truncated,8,7,464,1887,0.2458929517753047
realized,Unary-Truncated,16,7,589,1887,0.31213566507684154
realized,Unary-Truncated,32,7,694,1887,0.3677795442501325
realized,Unary-Truncated,64,7,767,1887,0.40646528881823
realized,Unary-Truncated,128,7,830,1887,0.43985161632220454
realized,Unary-Truncated,256,7,881,1887,0.46687864334923157
realized,Pairwise-MassPreserving,1,7,0,1887,0.0
realized,Pairwise-MassPreserving,2,7,0,1887,0.0
realized,Pairwise-MassPreserving,4,7,0,1887,0.0
realized,Pairwise-MassPreserving,7,7,482,1887,0.255431902490726
realized,Pairwise-MassPreserving,8,7,537,1887,0.2845786963434022
realized,Pairwise-MassPreserving,16,7,753,1887,0.3990461049284579
realized,Pairwise-MassPreserving,32,7,886,1887,0.46952835188129305
realized,Pairwise-MassPreserving,64,7,1002,1887,0.5310015898251192
realized,Pairwise-MassPreserving,128,7,1067,1887,0.5654478007419184
realized,Pairwise-MassPreserving,256,7,1111,1887,0.5887652358240594
realized,Pairwise-after-root,1,7,0,1887,0.0
realized,Pairwise-after-root,2,7,0,1887,0.0
realized,Pairwise-after-root,4,7,0,1887,0.0
realized,Pairwise-after-root,7,7,483,1887,0.2559618441971383
realized,Pairwise-after-root,8,7,537,1887,0.2845786963434022
realized,Pairwise-after-root,16,7,752,1887,0.3985161632220456
realized,Pairwise-after-root,32,7,893,1887,0.4732379438261791
realized,Pairwise-after-root,64,7,1008,1887,0.534181240063593
realized,Pairwise-after-root,128,7,1068,1887,0.5659777424483307
realized,Pairwise-after-root,256,7,1120,1887,0.59353471118177
realized,DFlash2-GreedyPath,1,7,0,1887,0.0
realized,DFlash2-GreedyPath,2,7,0,1887,0.0
realized,DFlash2-GreedyPath,4,7,0,1887,0.0
realized,DFlash2-GreedyPath,7,7,568,1887,0.3010068892421834
realized,DFlash2-GreedyPath,8,7,568,1887,0.3010068892421834
realized,DFlash2-GreedyPath,16,7,568,1887,0.3010068892421834
realized,DFlash2-GreedyPath,32,7,568,1887,0.3010068892421834
realized,DFlash2-GreedyPath,64,7,568,1887,0.3010068892421834
realized,DFlash2-GreedyPath,128,7,568,1887,0.3010068892421834
realized,DFlash2-GreedyPath,256,7,568,1887,0.3010068892421834
realized,Oracle-Lattice,1,7,0,1887,0.0
realized,Oracle-Lattice,2,7,0,1887,0.0
realized,Oracle-Lattice,4,7,0,1887,0.0
realized,Oracle-Lattice,7,7,1286,1887,0.6815050344462109
realized,Oracle-Lattice,8,7,1286,1887,0.6815050344462109
realized,Oracle-Lattice,16,7,1286,1887,0.6815050344462109
realized,Oracle-Lattice,32,7,1286,1887,0.6815050344462109
realized,Oracle-Lattice,64,7,1286,1887,0.6815050344462109
realized,Oracle-Lattice,128,7,1286,1887,0.6815050344462109
realized,Oracle-Lattice,256,7,1286,1887,0.6815050344462109
direct,Unary-FullMass,1,7,0,691,0.0
direct,Unary-FullMass,2,7,0,691,0.0
direct,Unary-FullMass,4,7,0,691,0.0
direct,Unary-FullMass,7,7,418,691,0.6049204052098408
direct,Unary-FullMass,8,7,441,691,0.638205499276411
direct,Unary-FullMass,16,7,507,691,0.7337192474674384
direct,Unary-FullMass,32,7,556,691,0.804630969609262
direct,Unary-FullMass,64,7,583,691,0.8437047756874095
