method,budget,mean,ci_low,ci_high
Unary-FullMass,1,0.8860428646105594,0.869177702996092,0.902887274679508
Unary-FullMass,2,1.6387872451646628,1.6008125233661699,1.6785531687766873
Unary-FullMass,4,2.7867224255096708,2.68859751812542,2.8896630800096075
Unary-FullMass,7,3.892838473601673,3.7221672937434547,4.0680520763539425
Unary-FullMass,8,3.991636173549399,3.81648494457879,4.169547627721214
Unary-FullMass,16,4.38421327757449,4.205378188617079,4.566709386133562
Unary-FullMass,32,4.657083115525353,4.478932558291512,4.840397964666791
Unary-FullMass,64,4.851019341348667,4.684526177041901,5.023613979649829
Unary-FullMass,128,5.019341348667015,4.854836820540377,5.188858160230816
Unary-FullMass,256,5.151594354417146,4.991843051836457,5.3134120008574826
Unary-Truncated,1,0.8860428646105594,0.869177702996092,0.902887274679508
Unary-Truncated,2,1.6403554626241506,1.6022336585608028,1.6801622758978498
Unary-Truncated,4,2.784108729743858,2.684843418761738,2.8873029556650245
Unary-Truncated,7,3.8860428646105594,3.7134885293102324,4.063119592000879
Unary-Truncated,8,3.9822268687924725,3.808665965591552,4.1609022556390975
Unary-Truncated,16,4.383690538421328,4.200599585166571,4.569101152962595
Unary-Truncated,32,4.6487192890747515,4.473250912266401,4.829103737688105
Unary-Truncated,64,4.845269210663878,4.675109424862457,5.0210415577049154
Unary-Truncated,128,5.009932043910089,4.841682741106589,5.182803140394692
Unary-Truncated,256,5.139571353894406,4.9762019285673045,5.3041842262506265
Pairwise-MassPreserving,1,0.8855201254573968,0.8677599144451055,0.9032794853682279
Pairwise-MassPreserving,2,1.6513329848405645,1.6095035674257128,1.694306721044278
Pairwise-MassPreserving,4,2.8562467328802925,2.766306068360424,2.9518443960269707
Pairwise-MassPreserving,7,4.111866178776791,3.9509693622899063,4.280038356769384
Pairwise-MassPreserving,8,4.26032409827496,4.096489906272531,4.429547479516206
Pairwise-MassPreserving,16,4.8186095138525875,4.662153519676647,4.978726071238073
Pairwise-MassPreserving,32,5.143230527966545,4.982639442276837,5.3067968036059066
Pairwise-MassPreserving,64,5.397804495556717,5.237458107469803,5.559508627836582
Pairwise-MassPreserving,128,5.568217459487716,5.410770346626798,5.727329604537264
Pairwise-MassPreserving,256,5.684788290642969,5.536618157418895,5.834379034217101
Pairwise-after-root,1,0.8860428646105594,0.869177702996092,0.902887274679508
Pairwise-after-root,2,1.6529012023000522,1.612868273165384,1.693813426093775
Pairwise-after-root,4,2.8687924725561946,2.7769817240170647,2.965180114465267
Pairwise-after-root,7,4.1291165708311555,3.968350123161077,4.293315288600189
Pairwise-after-root,8,4.276006272869838,4.112150403623824,4.441826637548112
Pairwise-after-root,16,4.828018818609514,4.670550894590977,4.988204922359565
Pairwise-after-root,32,5.158912702561421,4.996475326316876,5.325755522865029
Pairwise-after-root,64,5.407213800313643,5.2463136059437385,5.569512634567044
Pairwise-after-root,128,5.576058546785154,5.417687566805864,5.735589285632928
Pairwise-after-root,256,5.699947726084684,5.551909231938746,5.850026386956616
DFlash2-GreedyPath,1,0.8855201254573968,0.8677599144451055,0.9032794853682279
DFlash2-GreedyPath,2,1.6382645060115002,1.5962124655111032,1.6819566699043835
DFlash2-GreedyPath,4,2.801881860951385,2.705058542828073,2.905612484830097
DFlash2-GreedyPath,7,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,8,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,16,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,32,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,64,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,128,3.9059069524307373,3.731806773004639,4.0903507791782125
DFlash2-GreedyPath,256,3.9059069524307373,3.731806773004639,4.0903507791782125
Oracle-Lattice,1,0.9979090433873498,0.9957513914493877,0.9995007488766849
Oracle-Lattice,2,1.9712493465760585,1.9588602549990828,1.9821527560551357
Oracle-Lattice,4,3.752221641400941,3.704327267919059,3.7986153016751025
Oracle-Lattice,7,5.966544694197595,5.8276818026331645,6.102733141029073
Oracle-Lattice,8,5.966544694197595,5.8276818026331645,6.102733141029073
Oracle-Lattice,16,5.966544694197595,5.8276818026331645,6.102733141029073
Oracle-Lattice,32,5.966544694197595,5.8276818026331645,6.102733141029073
Oracle-Lattice,64,5.966544694197595,5.8276818026331645,6.102733141029073
Oracle-Lattice,128,5.966544694197595,5.8276818026331645,6.102733141029073
Oracle-Lattice,256,5.966544694197595,5.8276818026331645,6.102733141029073
