baseline,budget,mean_paired_difference,ci_low,ci_high,bootstrap_probability_positive,pairwise_gain_fraction_vs_unary_full
Unary-FullMass,1,-0.0005227391531625719,-0.007968226744243752,0.007042444471601843,0.4136,-0.004672897196261682
Unary-FullMass,2,0.012545739675901725,-0.001080555528743005,0.026164311878597593,0.961,0.03773584905660378
Unary-FullMass,4,0.06952430737062205,0.04393242287430705,0.09739999759657751,1.0,0.0720086626962642
Unary-FullMass,7,0.2190277051751176,0.1687692231861199,0.26767424762479686,1.0,0.10562137635492816
Unary-FullMass,8,0.26868792472556197,0.22148547320305195,0.3168567918738212,1.0,0.13605082053996825
Unary-FullMass,16,0.4343962362780972,0.3636809493323578,0.5,1.0,0.2745292368681863
Unary-FullMass,32,0.48614741244119186,0.4293413302540884,0.5401840965953209,1.0,0.3712574850299401
Unary-FullMass,64,0.5467851542080502,0.4901456224422369,0.603134592626515,1.0,0.4901593252108716
Unary-FullMass,128,0.5488761108207004,0.4952221695129665,0.603302347212642,1.0,0.5794701986754967
Unary-FullMass,256,0.5331939362258233,0.4824729444168762,0.5840099376203773,1.0,0.6542655548428481
Unary-Truncated,1,-0.0005227391531625719,-0.007968226744243752,0.007042444471601843,0.4136,
Unary-Truncated,2,0.01097752221641401,-0.0026207517409677994,0.024733493655444118,0.9383,
Unary-Truncated,4,0.07213800313643493,0.046107622546597185,0.10071942446043165,1.0,
Unary-Truncated,7,0.22582331416623105,0.17593469342905282,0.2740740740740741,1.0,
Unary-Truncated,8,0.2780972294824882,0.23019921598868967,0.3264907565429777,1.0,
Unary-Truncated,16,0.4349189754312598,0.3625940611857562,0.5027619477918698,1.0,
Unary-Truncated,32,0.494511238891793,0.43841548238879713,0.5479240472889825,1.0,
Unary-Truncated,64,0.5525352848928384,0.49368909894415663,0.6111111111111112,1.0,
Unary-Truncated,128,0.5582854155776268,0.5019854644936426,0.615860664207162,1.0,
Unary-Truncated,256,0.5452169367485624,0.4933176514844742,0.5974109518036934,1.0,
