prompt_index,prompt_id,round_count,budget,mean_paired_difference
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,1,0.0
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,1,-0.02
2,gsm8k:test:996:turn-0:e543f56bd86d,84,1,-0.011904761904761904
3,gsm8k:test:586:turn-0:c574f85c881a,58,1,-0.034482758620689655
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,1,0.0
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,1,0.021505376344086023
6,gsm8k:test:904:turn-0:11c33e8ce051,52,1,0.019230769230769232
7,gsm8k:test:130:turn-0:e638e1858c1c,50,1,0.02
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,1,-0.014492753623188406
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,1,0.0
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,1,-0.022222222222222223
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,1,0.03278688524590164
12,gsm8k:test:601:turn-0:e79b65885efe,71,1,0.014084507042253521
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,1,-0.0273972602739726
14,gsm8k:test:1284:turn-0:279651aacfd5,71,1,-0.014084507042253521
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,1,-0.04054054054054054
16,gsm8k:test:1272:turn-0:1f04e0044916,46,1,0.043478260869565216
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,1,-0.023255813953488372
18,gsm8k:test:992:turn-0:08767a111734,59,1,-0.01694915254237288
19,gsm8k:test:454:turn-0:e58837953363,26,1,0.038461538461538464
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,1,0.0
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,1,0.023809523809523808
22,gsm8k:test:506:turn-0:721e1f45e744,56,1,-0.017857142857142856
23,gsm8k:test:765:turn-0:bc69d570adcb,36,1,0.0
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,1,0.0
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,1,0.028169014084507043
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,1,0.05714285714285714
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,1,0.018518518518518517
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,1,0.0
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,1,-0.01818181818181818
30,gsm8k:test:423:turn-0:a9803aada7db,97,1,0.0
31,gsm8k:test:1020:turn-0:567a371a2556,40,1,-0.025
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,2,-0.017241379310344827
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,2,0.02
2,gsm8k:test:996:turn-0:e543f56bd86d,84,2,0.0
3,gsm8k:test:586:turn-0:c574f85c881a,58,2,0.0
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,2,0.045454545454545456
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,2,0.06451612903225806
6,gsm8k:test:904:turn-0:11c33e8ce051,52,2,0.019230769230769232
7,gsm8k:test:130:turn-0:e638e1858c1c,50,2,0.0
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,2,0.057971014492753624
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,2,-0.0136986301369863
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,2,-0.06666666666666667
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,2,0.06557377049180328
12,gsm8k:test:601:turn-0:e79b65885efe,71,2,0.04225352112676056
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,2,0.0136986301369863
14,gsm8k:test:1284:turn-0:279651aacfd5,71,2,0.0
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,2,-0.06756756756756757
16,gsm8k:test:1272:turn-0:1f04e0044916,46,2,0.08695652173913043
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,2,0.0
18,gsm8k:test:992:turn-0:08767a111734,59,2,-0.05084745762711865
19,gsm8k:test:454:turn-0:e58837953363,26,2,0.11538461538461539
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,2,0.027777777777777776
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,2,-0.047619047619047616
22,gsm8k:test:506:turn-0:721e1f45e744,56,2,0.03571428571428571
23,gsm8k:test:765:turn-0:bc69d570adcb,36,2,-0.05555555555555555
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,2,0.0
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,2,0.056338028169014086
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,2,0.08571428571428572
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,2,0.0
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,2,-0.010526315789473684
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,2,0.01818181818181818
30,gsm8k:test:423:turn-0:a9803aada7db,97,2,0.010309278350515464
31,gsm8k:test:1020:turn-0:567a371a2556,40,2,0.0
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,4,0.0
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,4,0.1
2,gsm8k:test:996:turn-0:e543f56bd86d,84,4,0.0
3,gsm8k:test:586:turn-0:c574f85c881a,58,4,-0.017241379310344827
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,4,0.06818181818181818
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,4,0.03225806451612903
6,gsm8k:test:904:turn-0:11c33e8ce051,52,4,0.038461538461538464
7,gsm8k:test:130:turn-0:e638e1858c1c,50,4,-0.04
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,4,0.15942028985507245
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,4,0.0958904109589041
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,4,0.06666666666666667
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,4,0.03278688524590164
12,gsm8k:test:601:turn-0:e79b65885efe,71,4,0.056338028169014086
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,4,0.1917808219178082
14,gsm8k:test:1284:turn-0:279651aacfd5,71,4,0.056338028169014086
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,4,0.1891891891891892
16,gsm8k:test:1272:turn-0:1f04e0044916,46,4,0.2608695652173913
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,4,0.023255813953488372
18,gsm8k:test:992:turn-0:08767a111734,59,4,-0.03389830508474576
19,gsm8k:test:454:turn-0:e58837953363,26,4,0.23076923076923078
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,4,0.08333333333333333
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,4,-0.047619047619047616
22,gsm8k:test:506:turn-0:721e1f45e744,56,4,0.25
23,gsm8k:test:765:turn-0:bc69d570adcb,36,4,0.0
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,4,0.03333333333333333
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,4,0.09859154929577464
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,4,0.08571428571428572
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,4,-0.037037037037037035
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,4,0.10526315789473684
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,4,0.01818181818181818
30,gsm8k:test:423:turn-0:a9803aada7db,97,4,0.041237113402061855
31,gsm8k:test:1020:turn-0:567a371a2556,40,4,0.1
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,7,0.034482758620689655
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,7,0.14
2,gsm8k:test:996:turn-0:e543f56bd86d,84,7,0.13095238095238096
3,gsm8k:test:586:turn-0:c574f85c881a,58,7,0.06896551724137931
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,7,0.18181818181818182
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,7,0.23655913978494625
6,gsm8k:test:904:turn-0:11c33e8ce051,52,7,0.21153846153846154
7,gsm8k:test:130:turn-0:e638e1858c1c,50,7,-0.2
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,7,0.463768115942029
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,7,0.2328767123287671
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,7,0.37777777777777777
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,7,0.29508196721311475
12,gsm8k:test:601:turn-0:e79b65885efe,71,7,0.16901408450704225
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,7,0.3287671232876712
14,gsm8k:test:1284:turn-0:279651aacfd5,71,7,0.2535211267605634
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,7,0.33783783783783783
16,gsm8k:test:1272:turn-0:1f04e0044916,46,7,0.41304347826086957
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,7,0.3488372093023256
18,gsm8k:test:992:turn-0:08767a111734,59,7,0.11864406779661017
19,gsm8k:test:454:turn-0:e58837953363,26,7,0.2692307692307692
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,7,0.20833333333333334
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,7,-0.14285714285714285
22,gsm8k:test:506:turn-0:721e1f45e744,56,7,0.30357142857142855
23,gsm8k:test:765:turn-0:bc69d570adcb,36,7,0.5277777777777778
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,7,0.11666666666666667
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,7,0.36619718309859156
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,7,0.2571428571428571
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,7,0.18518518518518517
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,7,0.29473684210526313
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,7,0.0
30,gsm8k:test:423:turn-0:a9803aada7db,97,7,0.12371134020618557
31,gsm8k:test:1020:turn-0:567a371a2556,40,7,0.4
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,8,0.08620689655172414
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,8,0.12
2,gsm8k:test:996:turn-0:e543f56bd86d,84,8,0.16666666666666666
3,gsm8k:test:586:turn-0:c574f85c881a,58,8,0.10344827586206896
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,8,0.13636363636363635
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,8,0.24731182795698925
6,gsm8k:test:904:turn-0:11c33e8ce051,52,8,0.2692307692307692
7,gsm8k:test:130:turn-0:e638e1858c1c,50,8,-0.06
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,8,0.5072463768115942
