scope,method,budget,depth,hits,N,coverage
realized,Unary-FullMass,1,1,1695,1913,0.8860428646105594
realized,Unary-FullMass,1,2,0,1909,0.0
realized,Unary-FullMass,1,3,0,1902,0.0
realized,Unary-FullMass,1,4,0,1898,0.0
realized,Unary-FullMass,1,5,0,1895,0.0
realized,Unary-FullMass,1,6,0,1895,0.0
realized,Unary-FullMass,1,7,0,1887,0.0
realized,Unary-FullMass,2,1,1731,1913,0.9048614741244119
realized,Unary-FullMass,2,2,1404,1909,0.7354635935044526
realized,Unary-FullMass,2,3,0,1902,0.0
realized,Unary-FullMass,2,4,0,1898,0.0
realized,Unary-FullMass,2,5,0,1895,0.0
realized,Unary-FullMass,2,6,0,1895,0.0
realized,Unary-FullMass,2,7,0,1887,0.0
realized,Unary-FullMass,4,1,1772,1913,0.9262937794040773
realized,Unary-FullMass,4,2,1488,1909,0.7794656888423258
realized,Unary-FullMass,4,3,1161,1902,0.610410094637224
realized,Unary-FullMass,4,4,910,1898,0.4794520547945205
realized,Unary-FullMass,4,5,0,1895,0.0
realized,Unary-FullMass,4,6,0,1895,0.0
realized,Unary-FullMass,4,7,0,1887,0.0
realized,Unary-FullMass,7,1,1817,1913,0.9498170412963931
realized,Unary-FullMass,7,2,1558,1909,0.8161341016238869
realized,Unary-FullMass,7,3,1265,1902,0.6650893796004206
realized,Unary-FullMass,7,4,1026,1898,0.5405690200210748
realized,Unary-FullMass,7,5,766,1895,0.40422163588390503
realized,Unary-FullMass,7,6,578,1895,0.3050131926121372
realized,Unary-FullMass,7,7,437,1887,0.23158452570217275
realized,Unary-FullMass,8,1,1831,1913,0.9571353894406691
realized,Unary-FullMass,8,2,1577,1909,0.8260869565217391
realized,Unary-FullMass,8,3,1289,1902,0.6777076761303891
realized,Unary-FullMass,8,4,1057,1898,0.5569020021074815
realized,Unary-FullMass,8,5,805,1895,0.42480211081794195
realized,Unary-FullMass,8,6,616,1895,0.325065963060686
realized,Unary-FullMass,8,7,461,1887,0.24430312665606782
realized,Unary-FullMass,16,1,1864,1913,0.974385781495034
realized,Unary-FullMass,16,2,1650,1909,0.8643268727082242
realized,Unary-FullMass,16,3,1394,1902,0.732912723449001
realized,Unary-FullMass,16,4,1173,1898,0.6180189673340358
realized,Unary-FullMass,16,5,958,1895,0.5055408970976253
realized,Unary-FullMass,16,6,761,1895,0.40158311345646436
realized,Unary-FullMass,16,7,587,1887,0.31107578166401695
realized,Unary-FullMass,32,1,1879,1913,0.9822268687924726
realized,Unary-FullMass,32,2,1710,1909,0.8957569408067051
realized,Unary-FullMass,32,3,1456,1902,0.7655099894847529
realized,Unary-FullMass,32,4,1250,1898,0.6585879873551106
realized,Unary-FullMass,32,5,1054,1895,0.5562005277044855
realized,Unary-FullMass,32,6,873,1895,0.46068601583113455
realized,Unary-FullMass,32,7,687,1887,0.3640699523052464
realized,Unary-FullMass,64,1,1889,1913,0.9874542603240982
realized,Unary-FullMass,64,2,1749,1909,0.9161864850707176
realized,Unary-FullMass,64,3,1519,1902,0.7986330178759201
realized,Unary-FullMass,64,4,1305,1898,0.6875658587987356
realized,Unary-FullMass,64,5,1119,1895,0.5905013192612137
realized,Unary-FullMass,64,6,944,1895,0.49815303430079155
realized,Unary-FullMass,64,7,755,1887,0.40010598834128247
realized,Unary-FullMass,128,1,1897,1913,0.9916361735493988
realized,Unary-FullMass,128,2,1775,1909,0.929806181246726
realized,Unary-FullMass,128,3,1563,1902,0.8217665615141956
realized,Unary-FullMass,128,4,1358,1898,0.7154899894625922
realized,Unary-FullMass,128,5,1188,1895,0.6269129287598945
realized,Unary-FullMass,128,6,1002,1895,0.5287598944591029
realized,Unary-FullMass,128,7,819,1887,0.43402225755166934
realized,Unary-FullMass,256,1,1902,1913,0.9942498693152118
realized,Unary-FullMass,256,2,1800,1909,0.9429020429544264
realized,Unary-FullMass,256,3,1598,1902,0.8401682439537329
realized,Unary-FullMass,256,4,1397,1898,0.7360379346680717
realized,Unary-FullMass,256,5,1228,1895,0.6480211081794195
realized,Unary-FullMass,256,6,1057,1895,0.5577836411609499
realized,Unary-FullMass,256,7,873,1887,0.4626391096979332
realized,Unary-Truncated,1,1,1695,1913,0.8860428646105594
realized,Unary-Truncated,1,2,0,1909,0.0
realized,Unary-Truncated,1,3,0,1902,0.0
realized,Unary-Truncated,1,4,0,1898,0.0
realized,Unary-Truncated,1,5,0,1895,0.0
realized,Unary-Truncated,1,6,0,1895,0.0
realized,Unary-Truncated,1,7,0,1887,0.0
realized,Unary-Truncated,2,1,1731,1913,0.9048614741244119
realized,Unary-Truncated,2,2,1407,1909,0.7370350969093766
realized,Unary-Truncated,2,3,0,1902,0.0
realized,Unary-Truncated,2,4,0,1898,0.0
realized,Unary-Truncated,2,5,0,1895,0.0
realized,Unary-Truncated,2,6,0,1895,0.0
realized,Unary-Truncated,2,7,0,1887,0.0
realized,Unary-Truncated,4,1,1766,1913,0.9231573444851019
realized,Unary-Truncated,4,2,1485,1909,0.7778941854374017
realized,Unary-Truncated,4,3,1164,1902,0.61198738170347
realized,Unary-Truncated,4,4,911,1898,0.47997892518440466
realized,Unary-Truncated,4,5,0,1895,0.0
realized,Unary-Truncated,4,6,0,1895,0.0
realized,Unary-Truncated,4,7,0,1887,0.0
realized,Unary-Truncated,7,1,1808,1913,0.9451123889179299
realized,Unary-Truncated,7,2,1549,1909,0.8114195914091147
realized,Unary-Truncated,7,3,1264,1902,0.6645636172450052
realized,Unary-Truncated,7,4,1022,1898,0.5384615384615384
realized,Unary-Truncated,7,5,769,1895,0.4058047493403694
realized,Unary-Truncated,7,6,579,1895,0.30554089709762533
realized,Unary-Truncated,7,7,443,1887,0.23476417594064652
realized,Unary-Truncated,8,1,1823,1913,0.9529534762153685
realized,Unary-Truncated,8,2,1570,1909,0.822420115243583
realized,Unary-Truncated,8,3,1286,1902,0.676130389064143
realized,Unary-Truncated,8,4,1051,1898,0.553740779768177
realized,Unary-Truncated,8,5,807,1895,0.4258575197889182
realized,Unary-Truncated,8,6,617,1895,0.32559366754617414
realized,Unary-Truncated,8,7,464,1887,0.2458929517753047
realized,Unary-Truncated,16,1,1860,1913,0.9722948248823837
realized,Unary-Truncated,16,2,1643,1909,0.8606600314300681
realized,Unary-Truncated,16,3,1390,1902,0.7308096740273397
realized,Unary-Truncated,16,4,1175,1898,0.619072708113804
realized,Unary-Truncated,16,5,961,1895,0.5071240105540897
realized,Unary-Truncated,16,6,768,1895,0.40527704485488125
realized,Unary-Truncated,16,7,589,1887,0.31213566507684154
realized,Unary-Truncated,32,1,1872,1913,0.9785676947203346
realized,Unary-Truncated,32,2,1698,1909,0.8894709271870089
realized,Unary-Truncated,32,3,1453,1902,0.7639327024185069
realized,Unary-Truncated,32,4,1242,1898,0.6543730242360379
realized,Unary-Truncated,32,5,1053,1895,0.5556728232189974
realized,Unary-Truncated,32,6,881,1895,0.46490765171503956
realized,Unary-Truncated,32,7,694,1887,0.3677795442501325
realized,Unary-Truncated,64,1,1886,1913,0.9858860428646106
realized,Unary-Truncated,64,2,1745,1909,0.9140911471974856
realized,Unary-Truncated,64,3,1505,1902,0.7912723449001051
realized,Unary-Truncated,64,4,1302,1898,0.6859852476290832
realized,Unary-Truncated,64,5,1117,1895,0.5894459102902375
realized,Unary-Truncated,64,6,947,1895,0.49973614775725594
realized,Unary-Truncated,64,7,767,1887,0.40646528881823
realized,Unary-Truncated,128,1,1894,1913,0.9900679560899112
realized,Unary-Truncated,128,2,1768,1909,0.9261393399685699
realized,Unary-Truncated,128,3,1555,1902,0.8175604626708728
realized,Unary-Truncated,128,4,1349,1898,0.7107481559536354
realized,Unary-Truncated,128,5,1183,1895,0.6242744063324538
realized,Unary-Truncated,128,6,1005,1895,0.5303430079155673
realized,Unary-Truncated,128,7,830,1887,0.43985161632220454
realized,Unary-Truncated,256,1,1901,1913,0.9937271301620492
realized,Unary-Truncated,256,2,1790,1909,0.9376636982713462
realized,Unary-Truncated,256,3,1587,1902,0.8343848580441641
realized,Unary-Truncated,256,4,1391,1898,0.7328767123287672
realized,Unary-Truncated,256,5,1224,1895,0.645910290237467
realized,Unary-Truncated,256,6,1058,1895,0.558311345646438
realized,Unary-Truncated,256,7,881,1887,0.46687864334923157
realized,Pairwise-MassPreserving,1,1,1694,1913,0.8855201254573968
realized,Pairwise-MassPreserving,1,2,0,1909,0.0
realized,Pairwise-MassPreserving,1,3,0,1902,0.0
realized,Pairwise-MassPreserving,1,4,0,1898,0.0
realized,Pairwise-MassPreserving,1,5,0,1895,0.0
realized,Pairwise-MassPreserving,1,6,0,1895,0.0
realized,Pairwise-MassPreserving,1,7,0,1887,0.0
realized,Pairwise-MassPreserving,2,1,1731,1913,0.9048614741244119
realized,Pairwise-MassPreserving,2,2,1428,1909,0.748035620743845
realized,Pairwise-MassPreserving,2,3,0,1902,0.0
realized,Pairwise-MassPreserving,2,4,0,1898,0.0
realized,Pairwise-MassPreserving,2,5,0,1895,0.0
realized,Pairwise-MassPreserving,2,6,0,1895,0.0
realized,Pairwise-MassPreserving,2,7,0,1887,0.0
realized,Pairwise-MassPreserving,4,1,1768,1913,0.9242028227914271
realized,Pairwise-MassPreserving,4,2,1527,1909,0.7998952331063384
realized,Pairwise-MassPreserving,4,3,1210,1902,0.6361724500525763
realized,Pairwise-MassPreserving,4,4,959,1898,0.5052687038988409
realized,Pairwise-MassPreserving,4,5,0,1895,0.0
realized,Pairwise-MassPreserving,4,6,0,1895,0.0
realized,Pairwise-MassPreserving,4,7,0,1887,0.0
realized,Pairwise-MassPreserving,7,1,1817,1913,0.9498170412963931
realized,Pairwise-MassPreserving,7,2,1612,1909,0.8444211629125197
realized,Pairwise-MassPreserving,7,3,1348,1902,0.7087276550998949
realized,Pairwise-MassPreserving,7,4,1103,1898,0.5811380400421496
realized,Pairwise-MassPreserving,7,5,853,1895,0.45013192612137204
realized,Pairwise-MassPreserving,7,6,651,1895,0.34353562005277044
realized,Pairwise-MassPreserving,7,7,482,1887,0.255431902490726
realized,Pairwise-MassPreserving,8,1,1827,1913,0.9550444328280188
realized,Pairwise-MassPreserving,8,2,1632,1909,0.85489785227868
realized,Pairwise-MassPreserving,8,3,1392,1902,0.7318611987381703
realized,Pairwise-MassPreserving,8,4,1146,1898,0.6037934668071654
realized,Pairwise-MassPreserving,8,5,914,1895,0.48232189973614775
realized,Pairwise-MassPreserving,8,6,702,1895,0.3704485488126649
realized,Pairwise-MassPreserving,8,7,537,1887,0.2845786963434022
realized,Pairwise-MassPreserving,16,1,1857,1913,0.970726607422896
realized,Pairwise-MassPreserving,16,2,1726,1909,0.9041382922996333
realized,Pairwise-MassPreserving,16,3,1521,1902,0.7996845425867508
realized,Pairwise-MassPreserving,16,4,1327,1898,0.6991570073761855
realized,Pairwise-MassPreserving,16,5,1114,1895,0.5878627968337731
realized,Pairwise-MassPreserving,16,6,920,1895,0.48548812664907653
realized,Pairwise-MassPreserving,16,7,753,1887,0.3990461049284579
realized,Pairwise-MassPreserving,32,1,1873,1913,0.9790904338734971
realized,Pairwise-MassPreserving,32,2,1771,1909,0.927710843373494
realized,Pairwise-MassPreserving,32,3,1589,1902,0.8354363827549948
realized,Pairwise-MassPreserving,32,4,1416,1898,0.7460484720758693
realized,Pairwise-MassPreserving,32,5,1238,1895,0.6532981530343008
realized,Pairwise-MassPreserving,32,6,1066,1895,0.562532981530343
realized,Pairwise-MassPreserving,32,7,886,1887,0.46952835188129305
realized,Pairwise-MassPreserving,64,1,1894,1913,0.9900679560899112
realized,Pairwise-MassPreserving,64,2,1815,1909,0.9507595599790466
realized,Pairwise-MassPreserving,64,3,1648,1902,0.8664563617245006
realized,Pairwise-MassPreserving,64,4,1483,1898,0.7813487881981033
realized,Pairwise-MassPreserving,64,5,1329,1895,0.7013192612137203
realized,Pairwise-MassPreserving,64,6,1155,1895,0.6094986807387863
realized,Pairwise-MassPreserving,64,7,1002,1887,0.5310015898251192
realized,Pairwise-MassPreserving,128,1,1903,1913,0.9947726084683742
realized,Pairwise-MassPreserving,128,2,1837,1909,0.9622839182818229
realized,Pairwise-MassPreserving,128,3,1697,1902,0.8922187171398528
realized,Pairwise-MassPreserving,128,4,1531,1898,0.8066385669125395
realized,Pairwise-MassPreserving,128,5,1393,1895,0.7350923482849604
realized,Pairwise-MassPreserving,128,6,1224,1895,0.645910290237467
realized,Pairwise-MassPreserving,128,7,1067,1887,0.5654478007419184
realized,Pairwise-MassPreserving,256,1,1907,1913,0.9968635650810246
realized,Pairwise-MassPreserving,256,2,1849,1909,0.9685699319015191
realized,Pairwise-MassPreserving,256,3,1724,1902,0.9064143007360673
realized,Pairwise-MassPreserving,256,4,1579,1898,0.8319283456269758
realized,Pairwise-MassPreserving,256,5,1428,1895,0.7535620052770449
realized,Pairwise-MassPreserving,256,6,1277,1895,0.6738786279683378
realized,Pairwise-MassPreserving,256,7,1111,1887,0.5887652358240594
realized,Pairwise-after-root,1,1,1695,1913,0.8860428646105594
realized,Pairwise-after-root,1,2,0,1909,0.0
realized,Pairwise-after-root,1,3,0,1902,0.0
realized,Pairwise-after-root,1,4,0,1898,0.0
realized,Pairwise-after-root,1,5,0,1895,0.0
realized,Pairwise-after-root,1,6,0,1895,0.0
realized,Pairwise-after-root,1,7,0,1887,0.0
realized,Pairwise-after-root,2,1,1724,1913,0.9012023000522739
realized,Pairwise-after-root,2,2,1438,1909,0.753273965426925
realized,Pairwise-after-root,2,3,0,1902,0.0
realized,Pairwise-after-root,2,4,0,1898,0.0
realized,Pairwise-after-root,2,5,0,1895,0.0
realized,Pairwise-after-root,2,6,0,1895,0.0
realized,Pairwise-after-root,2,7,0,1887,0.0
