method_key,method,budget,prompt_count,decode_rounds,equal_prompt_mean_matched_draft_tokens,round_weighted_mean_matched_draft_tokens,equal_prompt_mean_committed_tokens,round_weighted_full_block_acceptance,equal_prompt_mean_tokens_per_second,equal_prompt_mean_milliseconds_per_token,sequential_exact_matches,matched_ci_low,matched_ci_high
dflash2,DFlash2-GreedyPath,7,32,1913,3.9116891639739837,3.9059069524307373,4.895523242735897,0.29691583899634083,90.7778620318661,11.168074403038013,20,3.726271297827972,4.1039804842609735
dflash2_unary_k16_tb7,Unary-FullMass,7,32,1874,3.9623452915639303,3.95837780149413,4.946517617200747,0.23425827107790823,88.41508964441911,11.469948812554467,21,3.7828813992787347,4.141696820804515
dflash2_unary_k16_tb8,Unary-FullMass,8,32,1836,4.058987336787589,4.044117647058823,5.0440665056765,0.2549019607843137,88.75229198985964,11.428715131870455,20,3.8814407605400607,4.239310733660911
dflash2_unary_k16_tb16,Unary-FullMass,16,32,1723,4.481961165149703,4.484619849100406,5.464490309241349,0.3290771909460244,96.94260841529942,10.436018698313816,18,4.292980078803973,4.673838069096204
dflash2_unary_k16_tb32,Unary-FullMass,32,32,1619,4.7767799387668415,4.758492896849908,5.755490999644355,0.3730697961704756,101.45412548847742,9.958657335953358,17,4.60095976446605,4.952704434157304
dflash2_unary_k16_tb64,Unary-FullMass,64,32,1554,4.9506038514609765,4.949163449163449,5.928675782614373,0.4163449163449163,102.10387424197089,9.876212174172657,17,4.776883524195635,5.1215632128456
dflash2_pairwise_k16_tb7,Pairwise-MassPreserving,7,32,1811,4.171149079103325,4.159028161236885,5.15413227456723,0.2722252898950856,92.1488302437299,10.969742888915246,20,4.006235042866831,4.340505377845345
dflash2_pairwise_k16_tb8,Pairwise-MassPreserving,8,32,1732,4.344478419425403,4.340646651270208,5.327037025063499,0.29330254041570436,94.22479369705428,10.712562194324178,22,4.184516108196734,4.5053492475758095
dflash2_pairwise_k16_tb16,Pairwise-MassPreserving,16,32,1601,4.856195801012598,4.860087445346658,5.837369090303207,0.41099312929419113,102.6863337000215,9.850698842849763,19,4.669636902358724,5.035533156664458
dflash2_pairwise_k16_tb32,Pairwise-MassPreserving,32,32,1503,5.169397485565618,5.176314038589488,6.148565246106789,0.46706586826347307,108.25575555909863,9.316380203016141,19,4.991672584699236,5.347006261503981
dflash2_pairwise_k16_tb64,Pairwise-MassPreserving,64,32,1443,5.46423034925037,5.463617463617464,6.44285036885487,0.5294525294525294,110.61468867993179,9.098986889957372,18,5.302854612533107,5.619124834027638
