method,budget,offline_frozen_trace_round_weighted_mean,online_observed_round_weighted_mean,online_minus_offline
DFlash2-GreedyPath,7,3.9059069524307373,3.9059069524307373,0.0
Unary-FullMass,7,3.892838473601673,3.95837780149413,0.06553932789245742
Unary-FullMass,8,3.991636173549399,4.044117647058823,0.05248147350942434
Unary-FullMass,16,4.38421327757449,4.484619849100406,0.10040657152591592
Unary-FullMass,32,4.657083115525353,4.758492896849908,0.1014097813245547
Unary-FullMass,64,4.851019341348667,4.949163449163449,0.09814410781478244
Pairwise-MassPreserving,7,4.111866178776791,4.159028161236885,0.04716198246009462
Pairwise-MassPreserving,8,4.26032409827496,4.340646651270208,0.0803225529952476
Pairwise-MassPreserving,16,4.8186095138525875,4.860087445346658,0.04147793149407075
Pairwise-MassPreserving,32,5.143230527966545,5.176314038589488,0.03308351062294257
Pairwise-MassPreserving,64,5.397804495556717,5.463617463617464,0.06581296806074644
