budget,metric,mean_paired_prompt_difference,ci_low,ci_high,bootstrap_probability_positive,pairwise_improves_prompts,ties,unary_improves_prompts
8,mean_matched_draft_tokens,0.25537146835442337,0.2146498157629311,0.29602978118171247,1.0,110,7,11
8,mean_committed_tokens,0.25390890651237086,0.21306118798275708,0.2944494329513538,1.0,110,8,10
8,full_block_acceptance,0.03782577050231671,0.029214644543770325,0.04646451453724051,1.0,96,1,31
8,tokens_per_second,4.148537584348132,3.3848895904454412,4.909561547967802,1.0,107,0,21
8,milliseconds_per_token,-0.5159162052254471,-0.6123358470808556,-0.4207477346647817,0.0,21,0,107
16,mean_matched_draft_tokens,0.4327662756316911,0.383404548462624,0.4830234376653352,1.0,121,4,3
16,mean_committed_tokens,0.4311028668474264,0.38169641205967186,0.48161612523576375,1.0,120,4,4
16,full_block_acceptance,0.08169541264116369,0.07142381054804835,0.0920438472748677,1.0,120,1,7
16,tokens_per_second,7.205045705302686,6.263183721496375,8.150298094387667,1.0,119,0,9
16,milliseconds_per_token,-0.7346277562484256,-0.8384057165750733,-0.6353092454820458,0.0,9,0,119
32,mean_matched_draft_tokens,0.5086641540248145,0.45976917446010745,0.5577474449071139,1.0,122,3,3
32,mean_committed_tokens,0.5062109227761471,0.45750147542301706,0.5552239039452159,1.0,122,4,2
32,full_block_acceptance,0.10702730454059584,0.0952848658423943,0.11921263173077161,1.0,120,2,6
32,tokens_per_second,8.62419331352984,7.738674672757071,9.506960733458,1.0,122,0,6
32,milliseconds_per_token,-0.7924061138293542,-0.8766241591428704,-0.7085864761987348,0.0,6,0,122
64,mean_matched_draft_tokens,0.5453225336268843,0.4997989023119704,0.5919783461185572,1.0,123,4,1
64,mean_committed_tokens,0.5439243363439106,0.4981689772938457,0.5905445922355417,1.0,123,4,1
64,full_block_acceptance,0.12307387353379626,0.1109753646179266,0.13570392117117724,1.0,123,2,3
64,tokens_per_second,9.056482327758426,8.227628426735013,9.911532257318017,1.0,124,0,4
64,milliseconds_per_token,-0.822533408319126,-0.9070407281636043,-0.7412963818342424,0.0,4,0,124
