budget,metric,mean_paired_prompt_difference,ci_low,ci_high,bootstrap_probability_positive,pairwise_improves_prompts,ties,unary_improves_prompts
8,mean_matched_draft_tokens,0.20267309209124199,0.16884379970189264,0.23628808470666823,1.0,133,4,27
8,mean_committed_tokens,0.20064407168178625,0.16700953320087672,0.2340147496718283,1.0,133,5,26
8,full_block_acceptance,0.015514984786130231,0.008759646824491965,0.02172083534288465,1.0,114,3,47
8,tokens_per_second,3.3188487073125446,2.700047570417611,3.920915675517714,1.0,133,0,31
8,milliseconds_per_token,-0.518838445694413,-0.608218593563232,-0.4305329187423685,0.0,31,0,133
16,mean_matched_draft_tokens,0.3280472544222476,0.29224419000879964,0.36524420983388906,1.0,151,3,10
16,mean_committed_tokens,0.3256429568136945,0.2899418244917532,0.3629183939602578,1.0,151,4,9
16,full_block_acceptance,0.03927657747566419,0.03198137234268018,0.04665529663372905,1.0,137,1,26
16,tokens_per_second,5.455480448135102,4.816173009243395,6.118438078072444,1.0,151,0,13
16,milliseconds_per_token,-0.6828252654564572,-0.766900559204739,-0.6008086529255873,0.0,13,0,151
32,mean_matched_draft_tokens,0.4190362729641843,0.3818252011575881,0.4579896513690496,1.0,160,0,4
32,mean_committed_tokens,0.41683725502316693,0.37949491082451636,0.45567626055829896,1.0,160,0,4
32,full_block_acceptance,0.06267235986829048,0.05411540236773595,0.07128311348894525,1.0,147,0,17
32,tokens_per_second,6.940214103793366,6.269692737010925,7.6344749403360925,1.0,158,0,6
32,milliseconds_per_token,-0.776773634612541,-0.8528873478726389,-0.7030443134034179,0.0,6,0,158
64,mean_matched_draft_tokens,0.4461991169443268,0.4092078410093589,0.4808521739783712,1.0,161,1,2
64,mean_committed_tokens,0.44501335985958534,0.40810151292459956,0.47980649246432966,1.0,160,2,2
64,full_block_acceptance,0.0740062276681218,0.06562108663222137,0.08191241412291182,1.0,154,0,10
64,tokens_per_second,7.253504123267575,6.593728497668806,7.872643836680837,1.0,159,0,5
64,milliseconds_per_token,-0.7839517990366434,-0.8517751176431431,-0.7129477848153136,0.0,5,0,159
