budget,metric,mean_paired_prompt_difference,ci_low,ci_high,bootstrap_probability_positive,pairwise_improves_prompts,ties,unary_improves_prompts
8,mean_matched_draft_tokens,0.16877222422961805,0.12696404176506343,0.2128258247031648,1.0,131,10,19
8,mean_committed_tokens,0.1663348397174244,0.12299641028001992,0.21058982413915303,1.0,130,12,18
8,full_block_acceptance,0.01508350625949229,0.009065073775648184,0.02152934797292846,1.0,92,29,39
8,tokens_per_second,2.6572606722115086,1.8528180244492638,3.4740980682406817,1.0,125,0,35
8,milliseconds_per_token,-0.537227372521226,-0.701143404736191,-0.3741137985219311,0.0,35,0,125
16,mean_matched_draft_tokens,0.2732095306483443,0.22478419457950238,0.3212276045568097,1.0,132,10,18
16,mean_committed_tokens,0.2708945641709784,0.22210214773356024,0.3196407061395079,1.0,129,13,18
16,full_block_acceptance,0.031892979978169804,0.02084156421793906,0.043371155702061584,1.0,103,28,29
16,tokens_per_second,4.536076060926156,3.655495897447917,5.413104813441695,1.0,131,0,29
16,milliseconds_per_token,-0.816455195380731,-0.9865540151699711,-0.656661083820044,0.0,29,0,131
32,mean_matched_draft_tokens,0.3136632464773649,0.2595631464075135,0.3704223606261872,1.0,133,14,13
32,mean_committed_tokens,0.3115095191601257,0.25795970393396056,0.36772071107537835,1.0,133,14,13
32,full_block_acceptance,0.043884968766442344,0.03181140718761909,0.05650378395445635,1.0,109,25,26
32,tokens_per_second,5.215562552722216,4.208764031555437,6.270354412721819,1.0,132,0,28
32,milliseconds_per_token,-0.8416799481245334,-1.0093187669846768,-0.6826117780852108,0.0,28,0,132
64,mean_matched_draft_tokens,0.3786108852491556,0.3228723258514293,0.4343054612426285,1.0,137,14,9
64,mean_committed_tokens,0.3718117915389818,0.31485404635008857,0.4275767154428684,1.0,135,16,9
64,full_block_acceptance,0.05588052145069781,0.04313955858844769,0.06922426922887126,1.0,115,23,22
64,tokens_per_second,6.068437276638499,5.045144516016221,7.069541943595012,1.0,136,0,24
64,milliseconds_per_token,-0.9487427959873876,-1.0921409084428186,-0.8012127349394642,0.0,24,0,136
