dataset,clusters,turns,budget,unary_matched,pairwise_matched,matched_gain,matched_ci_low,matched_ci_high,improve_clusters,tie_clusters,hurt_clusters,unary_full_block,pairwise_full_block,unary_tokens_per_second,pairwise_tokens_per_second,tokens_per_second_gain,relative_throughput_gain_percent,throughput_ci_low,throughput_ci_high,unary_milliseconds_per_token,pairwise_milliseconds_per_token,milliseconds_per_token_difference,pairwise_tree_build_overhead_ms_per_round
GSM8K,128,128,8,4.083254421141035,4.338625889495459,0.25537146835442337,0.2142661637301835,0.2954808916690298,110,7,11,0.2620638248735908,0.29988959537590754,89.78950521602971,93.93804280037784,4.148537584348131,4.620292287352433,3.3745697495278693,4.9099903853582605,11.243099495548424,10.727183290322978,-0.5159162052254471,0.17396508979790537
GSM8K,128,128,16,4.472918018465831,4.905684294097522,0.4327662756316911,0.3831120531973955,0.4832655731027318,121,4,3,0.3391136919643676,0.4208091046055313,96.70531207724936,103.91035778255204,7.205045705302684,7.450516988712272,6.2642258612457455,8.148717781844802,10.4255563923546,9.690928636106173,-0.7346277562484256,0.18984403250371729
GSM8K,128,128,32,4.739450303122912,5.248114457147726,0.5086641540248145,0.4607453213023555,0.5567024610302694,122,3,3,0.38333670205910503,0.49036400659970086,100.65774515864712,109.28193847217695,8.62419331352984,8.567838768827189,7.768304242141283,9.48337765193463,9.999558063966752,9.207151950137398,-0.7924061138293543,0.19722325039223976
GSM8K,128,128,64,4.9455961012394205,5.490918634866305,0.5453225336268843,0.49868665203279255,0.5911602188895517,123,4,1,0.4179000586182956,0.5409739321520919,101.73616603297343,110.79264836073185,9.056482327758424,8.901930042088624,8.194467650731918,9.884152471446285,9.892845986588977,9.07031257826985,-0.822533408319126,0.24021422764903733
MATH500,128,128,8,4.328888357831451,4.61578341654131,0.2868950587098596,0.2484633190584649,0.325082553645877,117,1,10,0.3237326912337379,0.36788570080944605,94.34051648166044,99.15523889516813,4.814722413507682,5.103557403614228,4.139002920460628,5.508036724976671,10.729934427652701,10.198232588405272,-0.5317018392474282,0.17459996965773528
MATH500,128,128,16,4.731839672859206,5.196662295026219,0.4648226221670128,0.4124764378991002,0.5186019225129951,122,1,5,0.40657936898609837,0.4929591267224955,101.57275698015502,109.57535075964947,8.002593779494434,7.878681269878258,7.044021904721868,8.96181577323362,9.947972584014181,9.207185146841084,-0.7407874371730963,0.18698377652654363
MATH500,128,128,32,4.975737019398218,5.530633034030762,0.554896014632544,0.5083284355312908,0.6055766297186813,125,1,2,0.4442424250275552,0.5642317166789872,105.35862400105657,114.69574463199608,9.337120630939502,8.862227197315965,8.490058915587962,10.284232870181611,9.574150163112526,8.765860630310176,-0.8082895328023513,0.2029630129262432
MATH500,128,128,64,5.190011101537239,5.749838361678119,0.5598272601408791,0.5143457412402241,0.6069062964111754,126,0,2,0.4843838298173584,0.6115061858662526,106.51968002246532,115.54133047279879,9.021650450333471,8.469468222614617,8.224921423518007,9.847598960755944,9.447326772305303,8.699920129695787,-0.7474066426095178,0.23871370732776764
HumanEval,164,164,8,3.5027119661858745,3.7053850582771166,0.20267309209124199,0.16884126600936444,0.23387753358909869,133,4,27,0.19658935935718516,0.21210434414331536,80.30875814040876,83.62760684772131,3.3188487073125446,4.132611167402186,2.7002921010067986,3.887144477385084,12.598453124789028,12.079614679094613,-0.5188384456944131,0.17829969550776326
HumanEval,164,164,16,3.891409915799559,4.219457170221806,0.3280472544222476,0.29221209134516263,0.3650348500228616,151,3,10,0.24981283795247555,0.2890894154281398,87.3239181498915,92.77939859802657,5.455480448135102,6.247406854523832,4.8103110691186295,6.1186021102297,11.56597957341173,10.883154307955271,-0.682825265456457,0.1909931679112652
HumanEval,164,164,32,4.195916242663434,4.614952515627618,0.4190362729641843,0.3819178782501777,0.45644840312678314,160,0,4,0.29191976894171706,0.35459212881000757,92.1248473173982,99.06506142119159,6.940214103793368,7.533487767835547,6.275796103138423,7.615131493138843,10.95863064857256,10.18185701396002,-0.776773634612541,0.20637169608136374
