budget,metric,mean_paired_prompt_difference,ci_low,ci_high,bootstrap_probability_positive,pairwise_improves_prompts,ties,unary_improves_prompts
8,mean_matched_draft_tokens,0.14224501704186893,0.1012084253089453,0.1829236374094411,1.0,121,9,30
8,mean_committed_tokens,0.13981753636657218,0.0970628677918277,0.18141001877388974,1.0,120,11,29
8,full_block_acceptance,0.010960484093626044,0.005074315594474771,0.01707439055730269,0.9999,87,30,43
8,tokens_per_second,2.130207397894721,1.312865664648043,2.919228350175767,1.0,118,0,42
8,milliseconds_per_token,-0.4592850906518322,-0.6136733908607456,-0.3027645437701811,0.0,42,0,118
16,mean_matched_draft_tokens,0.21965704044133819,0.16764133804982415,0.27141627290765474,1.0,121,10,29
16,mean_committed_tokens,0.21730510578615356,0.1656601732718135,0.269897650242971,1.0,119,12,29
16,full_block_acceptance,0.025188536986026928,0.013820503602320488,0.03722946259562384,0.9999,94,29,37
16,tokens_per_second,3.6246826959770813,2.6768816204980217,4.589024008334197,1.0,124,0,36
16,milliseconds_per_token,-0.6225909487909586,-0.817037113515241,-0.43126316719773716,0.0,36,0,124
32,mean_matched_draft_tokens,0.3422205262648975,0.28320501205316123,0.40256006847814924,1.0,132,12,16
32,mean_committed_tokens,0.34028073287467664,0.281687407654648,0.40043065236159325,1.0,132,12,16
32,full_block_acceptance,0.05355217898449136,0.040280201946308804,0.06758293855526308,1.0,114,24,22
32,tokens_per_second,5.604039313598426,4.528528754508965,6.680345184265018,1.0,132,0,28
32,milliseconds_per_token,-0.8789664842818219,-1.0493941347384521,-0.7110727992486994,0.0,28,0,132
64,mean_matched_draft_tokens,0.3765617416343738,0.3177699882990316,0.4340781334534993,1.0,138,11,11
64,mean_committed_tokens,0.3702031026879729,0.31084587300365335,0.4275577375175365,1.0,136,13,11
64,full_block_acceptance,0.057098899223203214,0.04430348827915942,0.07036751187360694,1.0,118,21,21
64,tokens_per_second,5.9646082625498975,4.883949289239013,7.007455409043259,1.0,138,0,22
64,milliseconds_per_token,-0.8999375284495775,-1.0553346359452487,-0.7381931696600184,0.0,22,0,138
