prompt_index,method_key,method,budget,decode_rounds,num_output_tokens,mean_matched_draft_tokens,mean_committed_tokens,full_block_acceptance,milliseconds_per_token,tokens_per_second,matches_sequential_baseline,draft_milliseconds_per_round,tree_build_milliseconds_per_round,tree_compile_milliseconds_per_round,verify_milliseconds_per_round,commit_milliseconds_per_round,other_milliseconds_per_round
0,dflash2,DFlash2-GreedyPath,7,352,743,1.1107954545454546,2.1079545454545454,0.0,25.615484619116433,39.03888662928968,False,12.692269485982747,0.0,0.0,40.57449130387299,0.6538690851853475,0.1484186249688884
1,dflash2,DFlash2-GreedyPath,7,166,442,1.6626506024096386,2.6566265060240966,0.012048192771084338,20.111398970588674,49.72304519752309,,12.527853764992638,0.0,0.0,40.22658985537331,0.6468636987934938,0.14832126517907762
2,dflash2,DFlash2-GreedyPath,7,23,84,2.652173913043478,3.608695652173913,0.08695652173913043,14.712013535764916,67.97166122563708,True,12.18971786875045,0.0,0.0,40.7514506081023,0.6434078699701627,0.14625569684026035
3,dflash2,DFlash2-GreedyPath,7,133,423,2.172932330827068,3.172932330827068,0.07518796992481203,17.770157042557365,56.27412282317605,,13.215717894742458,0.0,0.0,42.439844916914716,0.7026643160541535,0.15888887982074998
4,dflash2,DFlash2-GreedyPath,7,88,223,1.5340909090909092,2.522727272727273,0.022727272727272728,21.52175132737019,46.464620131924605,False,12.716050715921897,0.0,0.0,40.999496204511324,0.6714407162772577,0.15108674969352168
5,dflash2,DFlash2-GreedyPath,7,26,49,0.8846153846153846,1.8461538461538463,0.0,28.13787530612899,35.53928607332267,,12.074437999567285,0.0,0.0,40.16067603823523,0.6496479990556299,0.144310655461875
6,dflash2,DFlash2-GreedyPath,7,88,210,1.3863636363636365,2.375,0.0,22.354821942869982,44.73307828421097,False,12.42387123891769,0.0,0.0,40.12018848813816,0.6559522157245241,0.14672223906845003
7,dflash2,DFlash2-GreedyPath,7,84,307,2.642857142857143,3.642857142857143,0.20238095238095238,14.81125455700257,67.51622532388473,,12.605579714675384,0.0,0.0,40.77243074997178,0.6077811430302626,0.14581730898672027
8,dflash2,DFlash2-GreedyPath,7,73,153,1.095890410958904,2.0821917808219177,0.0,25.636691673224323,39.00659307941937,False,12.49847075336195,0.0,0.0,40.43158621938695,0.6551408626128001,0.1464984112591419
9,dflash2,DFlash2-GreedyPath,7,64,195,2.046875,3.03125,0.140625,17.438360041034265,57.34484192589765,,12.343191202717207,0.0,0.0,40.02940106192909,0.6149434843791823,0.1449675010007992
10,dflash2,DFlash2-GreedyPath,7,102,210,1.0588235294117647,2.049019607843137,0.0,25.94642417621106,38.54095628779739,False,12.469104931155657,0.0,0.0,40.15219532355367,0.6504381276232273,0.1473702157490348
11,dflash2,DFlash2-GreedyPath,7,105,217,1.0571428571428572,2.057142857142857,0.0,26.05081078801481,38.38652117730131,,12.549597523979,0.0,0.0,40.460677494965715,0.6799432475374834,0.14812402874841132
12,dflash2,DFlash2-GreedyPath,7,266,647,1.4323308270676691,2.4285714285714284,0.018796992481203006,21.962298993823293,45.532573811204436,False,12.505865559966393,0.0,0.0,40.12225022545733,0.6451865976719673,0.14627449285795674
13,dflash2,DFlash2-GreedyPath,7,142,484,2.408450704225352,3.4014084507042255,0.06338028169014084,15.602873522728876,64.09075857362357,,12.448107767878854,0.0,0.0,39.95076169703167,0.6384396695812286,0.14431611199258224
14,dflash2,DFlash2-GreedyPath,7,84,150,0.7738095238095238,1.7738095238095237,0.0,30.34552566668329,32.9537873551458,False,12.634835154347543,0.0,0.0,40.70281401176804,0.6990230236364628,0.15176650075383286
15,dflash2,DFlash2-GreedyPath,7,5,9,0.6,1.6,0.0,29.01336966654829,34.46686860206299,,10.291755800426472,0.0,0.0,41.08207579993177,0.7153445985750295,0.13488920085364953
16,dflash2,DFlash2-GreedyPath,7,94,264,1.8085106382978724,2.797872340425532,0.0425531914893617,19.533544579534272,51.193985604011786,False,12.813974638002618,0.0,0.0,41.17550778693762,0.7165810313884495,0.15410429895905026
17,dflash2,DFlash2-GreedyPath,7,26,70,1.6923076923076923,2.6538461538461537,0.0,19.9641384714466,50.08981486630312,,12.28054011517088,0.0,0.0,40.63660469154666,0.6865799995676543,0.14587877068641739
18,dflash2,DFlash2-GreedyPath,7,20,87,3.35,4.3,0.15,12.121717977031782,82.49655716250773,True,11.947908799993456,0.0,0.0,40.02873780009395,0.6102146995544899,0.1426119004463544
19,dflash2,DFlash2-GreedyPath,7,11,87,6.909090909090909,7.818181818181818,0.9090909090909091,6.825842425272661,146.50206343725472,,11.861104089555077,0.0,0.0,41.44631536539898,0.5313392724598419,0.1474495451971465
20,dflash2,DFlash2-GreedyPath,7,139,329,1.3597122302158273,2.3597122302158273,0.0,22.701216884495054,44.050502010004614,False,12.560440424049572,0.0,0.0,40.356895913423976,0.6666451294444964,0.14767576328967227
21,dflash2,DFlash2-GreedyPath,7,105,230,1.180952380952381,2.1809523809523808,0.0,24.659957630438328,40.551570079166645,,12.629953752912115,0.0,0.0,40.54375516196679,0.692398989520457,0.15094214322743937
