dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,8,Unary-K16,16,1,7499,0.9977330310708095,0.9977330310708095
GSM8K,8,Unary-K16,16,2,7487,0.9778282356083878,0.9764925871510618
GSM8K,8,Unary-K16,16,3,7467,0.9469666532744074,0.9345118521494576
GSM8K,8,Unary-K16,16,4,7442,0.9091642031711905,0.8770491803278688
GSM8K,8,Unary-K16,16,5,7426,0.8839213573929438,0.8195529221653649
GSM8K,8,Unary-K16,16,6,7405,0.8544226873733963,0.7578663065496286
GSM8K,8,Unary-K16,16,7,7385,0.8220717670954638,0.6912660798916723
GSM8K,8,Unary-K32,32,1,7509,0.9990677853242775,0.9990677853242775
GSM8K,8,Unary-K32,32,2,7497,0.9883953581432573,0.9878618113912232
GSM8K,8,Unary-K32,32,3,7474,0.9693604495584693,0.9614664169119614
GSM8K,8,Unary-K32,32,4,7452,0.9354535695115406,0.9133118625872249
GSM8K,8,Unary-K32,32,5,7437,0.9224149522656986,0.872394782842544
GSM8K,8,Unary-K32,32,6,7416,0.8999460625674218,0.8214670981661273
GSM8K,8,Unary-K32,32,7,7396,0.8789886425094646,0.7658193618171985
GSM8K,8,Unary-K64,64,1,7451,0.9994631593074755,0.9994631593074755
GSM8K,8,Unary-K64,64,2,7439,0.9940852265089394,0.9938163731684366
GSM8K,8,Unary-K64,64,3,7416,0.9807173678532902,0.9758629989212514
GSM8K,8,Unary-K64,64,4,7395,0.9542934415145369,0.937525354969574
GSM8K,8,Unary-K64,64,5,7379,0.9489090662691422,0.9074400325247324
GSM8K,8,Unary-K64,64,6,7358,0.9338135362870346,0.8685784180483828
GSM8K,8,Unary-K64,64,7,7338,0.9217770509675661,0.830335241210139
GSM8K,8,Pairwise-K16,16,1,7095,0.9976039464411558,0.9976039464411558
GSM8K,8,Pairwise-K16,16,2,7077,0.976967641656069,0.9751307051010315
GSM8K,8,Pairwise-K16,16,3,7061,0.9490157201529529,0.9358447811924656
GSM8K,8,Pairwise-K16,16,4,7045,0.9112845990063875,0.8784953867991483
GSM8K,8,Pairwise-K16,16,5,7026,0.885710219185881,0.8226586962709934
GSM8K,8,Pairwise-K16,16,6,7013,0.8568373021531441,0.761015257379153
GSM8K,8,Pairwise-K16,16,7,6986,0.8206412825651302,0.6938162038362439
GSM8K,16,Unary-K16,16,1,6982,0.9967058149527356,0.9967058149527356
GSM8K,16,Unary-K16,16,2,6970,0.9764705882352941,0.9740315638450502
GSM8K,16,Unary-K16,16,3,6948,0.9476108232584917,0.9352331606217616
GSM8K,16,Unary-K16,16,4,6933,0.9078321073128516,0.8762440501947208
GSM8K,16,Unary-K16,16,5,6915,0.8831525668835865,0.8186550976138829
GSM8K,16,Unary-K16,16,6,6896,0.8528132250580046,0.7585556844547564
GSM8K,16,Unary-K16,16,7,6866,0.819254296533644,0.690649577628896
GSM8K,16,Unary-K32,32,1,6996,0.998570611778159,0.998570611778159
GSM8K,16,Unary-K32,32,2,6983,0.9876843763425461,0.9865387369325505
GSM8K,16,Unary-K32,32,3,6962,0.9675380637747774,0.9596380350474002
GSM8K,16,Unary-K32,32,4,6946,0.9386697379786928,0.9126115750071984
GSM8K,16,Unary-K32,32,5,6928,0.9197459584295612,0.8677829099307159
GSM8K,16,Unary-K32,32,6,6910,0.9014471780028943,0.8205499276410999
GSM8K,16,Unary-K32,32,7,6880,0.8789244186046512,0.765843023255814
