dataset,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,Unary-K64,16,1,27507,0.9974188388410223,0.9974188388410223
GSM8K,Unary-K64,16,2,27456,0.9777462121212122,0.9759615384615384
GSM8K,Unary-K64,16,3,27376,0.948604617182934,0.937646113383986
GSM8K,Unary-K64,16,4,27307,0.9099132090672721,0.8795546929358773
GSM8K,Unary-K64,16,5,27247,0.8847212537160054,0.8225859727676441
GSM8K,Unary-K64,16,6,27166,0.8561805197673562,0.7620555105646765
GSM8K,Unary-K64,16,7,27059,0.822166377175801,0.6954063343065154
GSM8K,Unary-K64,32,1,27507,0.9987639509942924,0.9987639509942924
GSM8K,Unary-K64,32,2,27456,0.9882721445221445,0.9873615967365967
GSM8K,Unary-K64,32,3,27376,0.9691335476329632,0.9619009351256576
GSM8K,Unary-K64,32,4,27307,0.9382942102757534,0.9149668583147178
GSM8K,Unary-K64,32,5,27247,0.920945425184424,0.8721327118581862
GSM8K,Unary-K64,32,6,27166,0.9037767797982773,0.8247809762202754
GSM8K,Unary-K64,32,7,27059,0.8808529509590155,0.7712036660630475
GSM8K,Unary-K64,64,1,27507,0.999418329879667,0.999418329879667
GSM8K,Unary-K64,64,2,27456,0.994245337995338,0.9939175407925408
GSM8K,Unary-K64,64,3,27376,0.9813705435417884,0.9773889538281707
GSM8K,Unary-K64,64,4,27307,0.9570073607499908,0.9407477936060351
GSM8K,Unary-K64,64,5,27247,0.9473703526993797,0.9089808052262635
GSM8K,Unary-K64,64,6,27166,0.9362070234852389,0.8731870720753884
GSM8K,Unary-K64,64,7,27059,0.9231309361025907,0.8364315015336856
MATH500,Unary-K64,16,1,66773,0.997184490737274,0.997184490737274
MATH500,Unary-K64,16,2,66711,0.9827614636266883,0.9816821813494027
MATH500,Unary-K64,16,3,66644,0.9580157253466178,0.9479923173879119
MATH500,Unary-K64,16,4,66591,0.92829361325104,0.9008875073208091
MATH500,Unary-K64,16,5,66526,0.9034963773562217,0.850193909148303
MATH500,Unary-K64,16,6,66429,0.8724352316006564,0.7926357464360445
MATH500,Unary-K64,16,7,66325,0.8456690539012439,0.7350320392009047
MATH500,Unary-K64,32,1,66773,0.9984724364638402,0.9984724364638402
MATH500,Unary-K64,32,2,66711,0.9907511504849276,0.9902564794411716
MATH500,Unary-K64,32,3,66644,0.9753916331552728,0.9690294700198068
MATH500,Unary-K64,32,4,66591,0.9558498896247241,0.9365229535522819
MATH500,Unary-K64,32,5,66526,0.9396626882722544,0.8993626552024773
MATH500,Unary-K64,32,6,66429,0.9200499781721838,0.856162218308269
MATH500,Unary-K64,32,7,66325,0.9026159065209197,0.8108707124010555
MATH500,Unary-K64,64,1,66773,0.9990415287616252,0.9990415287616252
MATH500,Unary-K64,64,2,66711,0.9952481599736176,0.9948584191512644
MATH500,Unary-K64,64,3,66644,0.9865854390492768,0.982954204429506
MATH500,Unary-K64,64,4,66591,0.9729993542670932,0.9611959574116622
MATH500,Unary-K64,64,5,66526,0.9631121666716772,0.9354989026846646
MATH500,Unary-K64,64,6,66429,0.9523551460958316,0.9051769558475967
MATH500,Unary-K64,64,7,66325,0.9417866566151527,0.8727629099133057
