dataset,budget,method,candidate_count,rounds,classified_rounds,candidate_failure_count,candidate_failure_rate,ranking_budget_failure_count,ranking_budget_failure_rate,covered_count,covered_rate,censored_count
GSM8K,8,Unary-K16,16,7499,7406,476,0.06427221172022685,5005,0.6758034026465028,1925,0.2599243856332703,93
GSM8K,8,Unary-K32,32,7509,7414,247,0.03331534933908821,5232,0.7056919341785811,1935,0.26099271648233074,95
GSM8K,8,Unary-K64,64,7451,7357,128,0.01739839608536088,5304,0.7209460377871415,1925,0.26165556612749763,94
GSM8K,8,Pairwise-K16,16,7095,7000,670,0.09571428571428571,4241,0.6058571428571429,2089,0.29842857142857143,95
GSM8K,16,Unary-K16,16,6982,6879,633,0.09201918883558657,3920,0.5698502689344381,2326,0.3381305422299753,103
GSM8K,16,Unary-K32,32,6996,6895,342,0.049601160261058735,4223,0.6124728063814359,2330,0.33792603335750543,101
GSM8K,16,Unary-K64,64,6984,6882,169,0.024556814879395525,4386,0.6373147340889277,2327,0.3381284510316768,102
GSM8K,16,Pairwise-K16,16,6692,6600,921,0.13954545454545456,2872,0.4351515151515152,2807,0.4253030303030303,92
GSM8K,32,Unary-K16,16,6661,6559,724,0.11038268028662906,3310,0.5046500991004726,2525,0.3849672206128983,102
GSM8K,32,Unary-K32,32,6770,6668,400,0.059988002399520096,3703,0.5553389322135572,2565,0.38467306538692264,102
GSM8K,32,Unary-K64,64,6738,6636,194,0.02923447860156721,3883,0.5851416515973478,2559,0.385623869801085,102
GSM8K,32,Pairwise-K16,16,6102,6002,1048,0.17460846384538486,1992,0.33188937020993003,2962,0.4935021659446851,100
GSM8K,64,Unary-K16,16,6331,6228,780,0.1252408477842004,2808,0.4508670520231214,2640,0.4238921001926782,103
GSM8K,64,Unary-K32,32,6345,6245,459,0.07349879903923139,3131,0.5013610888710969,2655,0.42514011208967173,100
GSM8K,64,Unary-K64,64,6334,6233,238,0.03818386009947056,3343,0.536338841649286,2652,0.42547729825124336,101
GSM8K,64,Pairwise-K16,16,5837,5737,1147,0.19993027714833536,1449,0.2525710301551333,3141,0.5474986926965313,100
MATH500,8,Unary-K16,16,17972,17876,941,0.05264041172521817,10871,0.6081338106959051,6064,0.33922577757887673,96
MATH500,8,Unary-K32,32,18213,18114,494,0.02727172352876228,11624,0.6417135916970299,5996,0.3310146847742078,99
MATH500,8,Unary-K64,64,18199,18102,229,0.012650535852392002,11893,0.656999226604795,5980,0.33035023754281295,97
MATH500,8,Pairwise-K16,16,16347,16246,1315,0.08094300135417949,8770,0.5398251877385203,6161,0.37923181090730024,101
MATH500,16,Unary-K16,16,16606,16503,1202,0.07283524207719809,8463,0.512815851663334,6838,0.41434890625946796,103
MATH500,16,Unary-K32,32,16298,16197,606,0.037414335988145954,8909,0.5500401308884362,6682,0.4125455331234179,101
MATH500,16,Unary-K64,64,16724,16624,320,0.019249278152069296,9417,0.5664701636188643,6887,0.4142805582290664,100
MATH500,16,Pairwise-K16,16,15503,15397,1804,0.11716568162629083,5912,0.3839709034227447,7681,0.4988634149509645,106
MATH500,32,Unary-K16,16,15986,15882,1413,0.08896864374763884,7252,0.4566175544641733,7217,0.4544138017881879,104
MATH500,32,Unary-K32,32,15698,15602,705,0.04518651454941674,7825,0.5015382643250865,7072,0.45327522112549673,96
MATH500,32,Unary-K64,64,16238,16139,364,0.02255406158993742,8368,0.518495569737902,7407,0.4589503686721606,99
MATH500,32,Pairwise-K16,16,14744,14639,2136,0.1459116059840153,4144,0.2830794453173031,8359,0.5710089486986816,105
MATH500,64,Unary-K16,16,15847,15753,1628,0.10334539452802641,6344,0.4027169428045452,7781,0.49393766266742845,94
MATH500,64,Unary-K32,32,15635,15536,856,0.05509783728115345,7026,0.4522399588053553,7654,0.49266220391349125,99
MATH500,64,Unary-K64,64,15612,15515,439,0.028295198195294875,7298,0.4703834998388656,7778,0.5013213019658395,97
MATH500,64,Pairwise-K16,16,14258,14154,2512,0.1774763317790024,2824,0.19951957043945173,8818,0.6230040977815459,104
