dataset,budget,method,candidate_count,prompts,mean_matched_draft_tokens,full_block_acceptance,tokens_per_second,milliseconds_per_token
GSM8K,8,Unary-K16,16,128,4.083254421141035,0.2620638248735908,89.5339066311401,11.271650735187198
GSM8K,8,Unary-K32,32,128,4.091263167518465,0.26381732547588427,89.36330923953253,11.28851915185354
GSM8K,8,Unary-K64,64,128,4.088983428192982,0.2638703880316146,88.83634398520692,11.356945031846148
GSM8K,8,Pairwise-K16,16,128,4.338625889495459,0.29988959537590754,93.69147426934977,10.752414487494423
GSM8K,16,Unary-K16,16,128,4.472918018465831,0.3391136919643676,96.39345467050347,10.457416171000359
GSM8K,16,Unary-K32,32,128,4.4692872246439705,0.338535857225412,95.84210218865334,10.517339133092683
GSM8K,16,Unary-K64,64,128,4.474630860573161,0.33881463887898045,95.20971738185753,10.586072080803135
GSM8K,16,Pairwise-K16,16,128,4.905684294097522,0.4208091046055313,103.77556932193716,9.702082841332238
GSM8K,32,Unary-K16,16,128,4.739450303122912,0.38333670205910503,100.59113486620214,10.005744853707768
GSM8K,32,Unary-K32,32,128,4.7406148890776905,0.3855916008575352,99.67006354398289,10.102119480684053
GSM8K,32,Unary-K64,64,128,4.743206806572222,0.38536927552604827,98.17321701247832,10.253924277066053
GSM8K,32,Pairwise-K16,16,128,5.248114457147726,0.49036400659970086,109.05646350606145,9.22438894958637
GSM8K,64,Unary-K16,16,128,4.9455961012394205,0.4179000586182956,101.53860188374378,9.910495602688023
GSM8K,64,Unary-K32,32,128,4.952109510959326,0.4186647872302416,100.04118304222357,10.057507448041559
GSM8K,64,Unary-K64,64,128,4.947865160841232,0.41904220566159306,95.96630734356441,10.489742351744148
GSM8K,64,Pairwise-K16,16,128,5.490918634866305,0.5409739321520919,110.4112081453881,9.099312682161285
MATH500,8,Unary-K16,16,128,4.328888357831451,0.3237326912337379,92.06987908013198,11.006445564829406
MATH500,8,Unary-K32,32,128,4.313471707586155,0.3203817123141107,91.66738668700452,11.047161483884402
MATH500,8,Unary-K64,64,128,4.308454601235937,0.3199675977426022,91.02542841202657,11.126997488067197
MATH500,8,Pairwise-K16,16,128,4.61578341654131,0.36788570080944605,96.83378299044153,10.444029137142483
MATH500,16,Unary-K16,16,128,4.731839672859206,0.40657936898609837,99.30338242247738,10.179539214297357
MATH500,16,Unary-K32,32,128,4.729516364943144,0.4047722087998944,98.79188124380562,10.22607777562521
MATH500,16,Unary-K64,64,128,4.732297527976514,0.4058019579914362,97.95728704506678,10.318247721125786
MATH500,16,Pairwise-K16,16,128,5.196662295026219,0.4929591267224955,106.99847662650417,9.432458227034603
MATH500,32,Unary-K16,16,128,4.975737019398218,0.4442424250275552,103.03639986236783,9.794642119561468
MATH500,32,Unary-K32,32,128,4.969423023664661,0.443556758528832,101.94888585925752,9.900934713187548
MATH500,32,Unary-K64,64,128,4.983601849703702,0.4472606212042364,100.56419676191646,10.037565500448952
MATH500,32,Pairwise-K16,16,128,5.530633034030762,0.5642317166789872,112.08396151914403,8.974242604678652
MATH500,64,Unary-K16,16,128,5.190011101537239,0.4843838298173584,104.03896794814807,9.67469729237933
MATH500,64,Unary-K32,32,128,5.1879752593138235,0.48343946733692345,102.30174399982589,9.842336358389261
MATH500,64,Unary-K64,64,128,5.195969310216761,0.4868976273074994,98.30919788587197,10.254893068494235
MATH500,64,Pairwise-K16,16,128,5.749838361678119,0.6115061858662526,112.92270413066714,8.907138681732523
