dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,8,Unary-K64,16,1,7451,0.9977184270567709,0.9977184270567709
GSM8K,8,Unary-K64,16,2,7439,0.9782228794192768,0.976878612716763
GSM8K,8,Unary-K64,16,3,7416,0.9478155339805825,0.9356796116504854
GSM8K,8,Unary-K64,16,4,7395,0.9099391480730223,0.8782961460446247
GSM8K,8,Unary-K64,16,5,7379,0.8845372001626237,0.820978452364819
GSM8K,8,Unary-K64,16,6,7358,0.8556673008969828,0.759853220983963
GSM8K,8,Unary-K64,16,7,7338,0.821340964840556,0.6918778958844372
GSM8K,8,Unary-K64,32,1,7451,0.9990605287880822,0.9990605287880822
GSM8K,8,Unary-K64,32,2,7439,0.9883048796881301,0.9877671730071246
GSM8K,8,Unary-K64,32,3,7416,0.9697950377562028,0.9618392664509169
GSM8K,8,Unary-K64,32,4,7395,0.9367139959432048,0.9142663962136579
GSM8K,8,Unary-K64,32,5,7379,0.9223472015178208,0.8730180241225098
GSM8K,8,Unary-K64,32,6,7358,0.9016036966567001,0.823049741777657
GSM8K,8,Unary-K64,32,7,7338,0.8796674843281548,0.7669664758789861
GSM8K,8,Unary-K64,64,1,7451,0.9994631593074755,0.9994631593074755
GSM8K,8,Unary-K64,64,2,7439,0.9940852265089394,0.9938163731684366
GSM8K,8,Unary-K64,64,3,7416,0.9807173678532902,0.9758629989212514
GSM8K,8,Unary-K64,64,4,7395,0.9542934415145369,0.937525354969574
GSM8K,8,Unary-K64,64,5,7379,0.9489090662691422,0.9074400325247324
GSM8K,8,Unary-K64,64,6,7358,0.9338135362870346,0.8685784180483828
GSM8K,8,Unary-K64,64,7,7338,0.9217770509675661,0.830335241210139
GSM8K,16,Unary-K64,16,1,6984,0.9967067583046965,0.9967067583046965
GSM8K,16,Unary-K64,16,2,6972,0.9761904761904762,0.9737521514629949
GSM8K,16,Unary-K64,16,3,6951,0.9474895698460654,0.9351172493166451
GSM8K,16,Unary-K64,16,4,6936,0.908881199538639,0.8765859284890427
GSM8K,16,Unary-K64,16,5,6918,0.8834923388262503,0.8185891876264817
GSM8K,16,Unary-K64,16,6,6900,0.8536231884057971,0.7592753623188406
GSM8K,16,Unary-K64,16,7,6869,0.820497889066822,0.6918037560052409
GSM8K,16,Unary-K64,32,1,6984,0.9984249713631157,0.9984249713631157
GSM8K,16,Unary-K64,32,2,6972,0.9879518072289156,0.9866609294320138
GSM8K,16,Unary-K64,32,3,6951,0.9677744209466264,0.9598618903754855
GSM8K,16,Unary-K64,32,4,6936,0.9385813148788927,0.9129181084198386
GSM8K,16,Unary-K64,32,5,6918,0.9191962995085284,0.8673026886383348
GSM8K,16,Unary-K64,32,6,6900,0.9036231884057971,0.8211594202898551
GSM8K,16,Unary-K64,32,7,6869,0.8785849468627166,0.7656136264376183
GSM8K,16,Unary-K64,64,1,6984,0.9991408934707904,0.9991408934707904
GSM8K,16,Unary-K64,64,2,6972,0.9939759036144579,0.9934021801491681
