dataset,budget,comparison,matched_gain,matched_ci_low,matched_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,8,U32-U16,0.008008746377429172,0.0001353999904045776,0.017201417832644283,12,109,7
GSM8K,8,U64-U32,-0.002279739325482741,-0.009736883642565483,0.004949540877430245,8,108,12
GSM8K,16,U32-U16,-0.0036307938218607186,-0.015427726629395644,0.008792712681051144,4,114,10
GSM8K,16,U64-U32,0.005343635929190897,-0.003964273687332062,0.015510892222239097,12,109,7
GSM8K,32,U32-U16,0.0011645859547785437,-0.00473287295056529,0.007648544906034061,7,113,8
GSM8K,32,U64-U32,0.0025919174945317064,-0.002369328178316766,0.007638697834728019,8,115,5
GSM8K,64,U32-U16,0.006513409719904724,-0.007393580306073229,0.022080132182733716,9,112,7
GSM8K,64,U64-U32,-0.004244350118093494,-0.014240189934146007,0.003831923042525299,5,116,7
MATH500,8,U32-U16,-0.015416650245294886,-0.036583639891243636,0.005168790587181067,17,89,22
MATH500,8,U64-U32,-0.005017106350218119,-0.03142386633375256,0.01693543521952716,18,85,25
MATH500,16,U32-U16,-0.002323307916061765,-0.022086714659648475,0.017793642524255457,24,80,24
MATH500,16,U64-U32,0.002781163033369262,-0.018005618893804812,0.024762492960811143,20,85,23
MATH500,32,U32-U16,-0.006313995733556444,-0.035941003417445785,0.017620255898974264,26,87,15
MATH500,32,U64-U32,0.014178826039041498,-0.010925542229572887,0.04434407766900725,21,84,23
MATH500,64,U32-U16,-0.002035842223415567,-0.02277757562010772,0.01882868890682541,27,80,21
MATH500,64,U64-U32,0.007994050902936967,-0.013929640189418628,0.03257428013255223,14,93,21
