dataset,prompts,budget,method,mean_matched_draft_tokens,full_block_acceptance,committed_tokens_per_round,tokens_per_second,milliseconds_per_token,tree_build_ms_per_round,verify_ms_per_round
GSM8K,64,7,DFlash2-greedy,4.857714558440071,0.4914015308336833,5.839417014820012,27.866194239988,36.41462439086236,0.0,201.95636532213672
GSM8K,64,16,Unary-K16,5.646145171892975,0.6027409899247537,6.624382724066878,17.296219152532778,57.837715448635294,0.5886226670766299,372.75042030871765
GSM8K,64,16,Pairwise-K16,6.064139333922773,0.7137618133743394,7.042091754044553,17.277840593141644,57.91274948154121,0.7694579768379562,398.1856888184517
GSM8K,64,32,Unary-K16,5.837929775025483,0.6535727059693912,6.816488317470226,17.29557902239752,57.855738077976376,0.8936724289241808,384.2633867593009
GSM8K,64,32,Pairwise-K16,6.281773579286822,0.7761546971275106,7.257782338408004,17.291475018987523,57.86521991934702,1.0828710510073287,410.427242496833
GSM8K,64,64,Unary-K16,5.993348307452302,0.6874532257562018,6.97061753377899,17.254255866967537,57.9905810468252,1.4669059580153543,393.7626165649258
GSM8K,64,64,Pairwise-K16,6.429709315475057,0.8079161549710554,7.406731950580971,17.31582695672595,57.78264225388686,1.6735331198263166,418.1413930373174
MATH500,64,7,DFlash2-greedy,4.676366911401887,0.4803426323708644,5.658417532586048,27.193002976029376,37.55328070220931,0.0,200.57171228249385
MATH500,64,16,Unary-K16,5.5608402059136015,0.5790551346886286,6.539187964824556,17.552094124580947,56.98242228547295,0.5825066079587107,361.3523039542769
MATH500,64,16,Pairwise-K16,5.9644242839992065,0.6934408824888568,6.940935344433429,17.55516432249697,56.9709640838817,0.7584173134764046,384.7798579230163
MATH500,64,32,Unary-K16,5.777469980635381,0.6381346974131272,6.7538412448530405,17.546367721153956,57.01241109757579,0.8899628482833135,373.88051943049567
MATH500,64,32,Pairwise-K16,6.216147248186879,0.7477718302354143,7.191436595618722,17.559024808172136,56.95804110431669,1.070175787892805,399.44558428019167
MATH500,64,64,Unary-K16,5.948348591598435,0.6765019262761092,6.925427111473924,17.54168793052857,57.01686546461691,1.4586042246777824,383.71072957136914
MATH500,64,64,Pairwise-K16,6.382045735399004,0.7886555392901538,7.357927909248838,17.578956936324865,56.8956291029699,1.6568098307699024,408.54089868406595
