dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
GSM8K,original,Sequential-Baseline,baseline,,4,52.04037297836633,53.034195534025116,nan,nan,0.0,1.0,64.0,23.08244549999472,1.229898257000002,8.607514381408691,8.72265625,1.0
GSM8K,original,Raw-DFlash,dflash,,4,230.9331321896181,257.21948386644794,4.440306460398729,4.850085107696838,6.4375,7.4375,10.0,22.79489775000343,0.2892597922499931,8.633626937866211,8.72265625,1.0
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,4,232.76765154671108,257.48588216927317,4.479704512697296,4.8596946638883995,6.965277777777778,7.965277777777778,8.75,22.010682749993293,0.2974885797499951,8.641071796417236,8.72265625,1.0
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,4,267.423902437474,298.5652556086377,5.142523497817134,5.630805428866611,7.200396825396825,8.200396825396826,8.25,19.420210499959012,0.24426549525000496,8.649600505828857,8.72265625,1.0
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,4,281.276895706384,314.488834592449,5.408190606701243,5.931373551098661,7.649305555555555,8.649305555555555,7.75,19.035685249974676,0.22999633699998867,8.681460857391357,8.72265625,1.0
GSM8K,dflash2,Sequential-Baseline,baseline,,4,53.204272860153225,54.051131360646416,nan,nan,0.0,1.0,64.0,18.83697825002173,1.202919041499996,10.235031127929688,10.34375,1.0
GSM8K,dflash2,Raw-DFlash2,dflash2,,4,141.6691601278833,152.7368004225287,2.6625578630559703,2.82558961823821,3.264541160593792,4.215485829959515,15.25,25.70315949995461,0.4611338859999705,10.251977443695068,10.341796875,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,4,146.99900466720078,156.71485604922262,2.762700739455168,2.8991409994067636,3.4902930402930403,4.436538461538461,14.25,18.937118250022422,0.43667007824998905,10.257127285003662,10.34375,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,4,158.90259092151052,170.2845056021829,2.986900524721008,3.150729586986022,3.9855769230769234,4.947115384615385,12.75,18.886703000021043,0.4032667812500108,10.25934362411499,10.34375,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,4,169.67134435770436,182.78382784972416,3.1889178408463725,3.38150532152023,4.45236013986014,5.387674825174825,11.75,18.96102775003783,0.3787798305000081,10.27495288848877,10.34375,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,4,163.712265055302,175.92147038437855,3.0769736507262584,3.2546022471256624,4.593648018648018,5.5308566433566435,11.5,18.977727749984297,0.3934085082499905,10.308263778686523,10.34375,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,4,154.76864183459668,166.465507622206,2.90878742030528,3.0795399431950394,3.7557692307692303,4.6990384615384615,13.5,19.962579500031552,0.41529636174999496,10.257127285003662,10.34375,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,4,170.48723455238198,185.75870990212695,3.204129076266054,3.436535873027787,4.473193473193473,5.387674825174825,11.75,22.25812674998906,0.3773857969999881,10.25934362411499,10.34375,1.0
