dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,4,11.58464363087144,-4.060809553862754,27.230096815605634,7.555256103173987,nan,nan,nan,3,0,1
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,4,7.769637167395892,3.4678265654972833,10.439706718771049,5.251555641021437,nan,nan,nan,4,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,4,7.15847931415766,-0.3016942654021051,14.618652893717424,4.475563601217421,nan,nan,nan,2,0,2
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,4,26.224855884394053,19.177627574691726,32.9290490341268,16.379573761401524,nan,nan,nan,4,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,4,13.099481706713377,5.612182511911186,23.905201381530475,10.48434261855052,nan,nan,nan,4,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,4,7.039449382625328,0.8920392006562565,13.1868595645944,4.33426430618309,nan,nan,nan,4,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,4,17.876477810272583,7.152429650636208,27.1959369604781,10.925344816695242,nan,nan,nan,4,0,0
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,4,-60.445897637236136,-95.0730975989467,-25.81869767552557,-24.051780856525554,-1.2361773841326746,-1.926516046120538,-0.5458387221448118,0,0,4
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,4,-62.28041699432911,-90.72242974872725,-9.613439983229576,-22.142703982535394,-1.2755754364312422,-1.8441528597597543,-0.23045870764075216,1,0,3
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,4,-54.10330851775608,-98.37945600247419,-9.827161033037981,-20.2438125343143,-1.1165964127268975,-1.988582098841266,-0.24461072661252903,1,0,3
