dataset,is_primary,comparison_type,left_method,right_method,prompts,matched_tokens_gain,committed_tokens_gain,target_calls_avoided,draft_stage_ms_per_call_left,draft_stage_ms_per_call_right,draft_stage_ms_per_call_change,tree_overhead_ms_per_call,verify_stage_ms_per_call_left,verify_stage_ms_per_call_right,verify_stage_ms_per_call_change,net_tokens_per_second_gain
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,4,0.48761655011655014,0.44055944055944085,1.0,6.984185187072249,7.067503524029261,-0.08331833695701185,0.11167194640065847,20.3296310557997,20.404287137821505,-0.07465608202180363,11.58464363087144
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,4,0.2654761904761903,0.26249999999999996,0.75,7.045987006967977,7.099121724535345,-0.053134717567368206,0.08274673544935016,19.840575833055436,19.911362370599342,-0.07078653754390629,7.769637167395892
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,4,0.24460955710955712,0.22027972027972043,0.5,6.991613124997779,7.001351640434486,-0.009738515436707118,-0.1466077319444684,20.384476948868613,20.348349112181502,0.03612783668711117,7.15847931415766
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,4,0.6381701631701636,0.6259615384615385,1.25,6.9882898522636925,7.051478788698761,-0.0631889364350684,-1.3067841058687324,20.301966061356584,20.502638528906104,-0.20067246754951995,26.224855884394053
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,4,0.49122807017543857,0.48355263157894735,1.75,7.045987006967977,6.525212648160901,0.5207743588070759,0.7316940301360304,19.840575833055436,21.063540851324028,-1.2229650182685923,13.099481706713377
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,4,0.24460955710955712,0.22027972027972043,0.5,6.991613124997779,7.037880693324861,-0.046267568327081676,0.1223996989994402,20.384476948868613,20.517505075607755,-0.13302812673914133,7.039449382625328
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,4,0.6381701631701636,0.6259615384615385,1.25,6.9882898522636925,6.994002738794723,-0.0057128865310307475,0.13350293633075178,20.301966061356584,20.345959887882266,-0.04399382652568207,17.876477810272583
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,4,-1.964306526806527,-2.049825174825175,-1.75,6.984185187072249,4.316519135423154,2.6676660516490953,0.8908485986427632,20.3296310557997,21.232327489581593,-0.902696433781891,-60.445897637236136
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,4,-2.4920843045843046,-2.5776029526029527,-3.0,6.984185187072249,8.118870160428948,-1.1346849733566984,0.40708246183812735,20.3296310557997,20.37923651876478,-0.04960546296507928,-62.28041699432911
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,4,-1.740530303030303,-1.8295454545454544,-1.25,6.991613124997779,4.316519135423154,2.6750939895746253,1.1828769242302168,20.384476948868613,21.232327489581593,-0.8478505407129795,-54.10330851775608
