dataset,family,method,method_key,prompts,exact_output_rate,truncated_rate,stopped_rate
GSM8K,original,Sequential-Baseline,baseline,2,nan,1.0,0.0
GSM8K,original,Raw-DFlash,dflash,2,1.0,1.0,0.0
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,2,1.0,1.0,0.0
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,2,1.0,1.0,0.0
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,2,1.0,1.0,0.0
GSM8K,dflash2,Sequential-Baseline,baseline,2,nan,1.0,0.0
GSM8K,dflash2,Raw-DFlash2,dflash2,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,2,1.0,1.0,0.0
GSM8K,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,2,1.0,1.0,0.0
