dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
GSM8K,original,Sequential-Baseline,baseline,,2,52.33601510173757,54.009479393574665,nan,nan,0.0,1.0,32.0,18.933473000060985,0.611435120000067,8.601454734802246,8.71875,1.0
GSM8K,original,Raw-DFlash,dflash,,2,169.78715117653425,204.95982779268337,3.2438453797565776,3.7947472502820085,4.833333333333334,5.833333333333334,6.0,26.655766499970923,0.18931145750002543,8.627205848693848,8.71875,1.0
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,2,185.71471390766408,222.89776930167204,3.54921980216505,4.127921068356873,5.616666666666667,6.616666666666667,5.5,24.663021499975457,0.17514924249996966,8.634649276733398,8.71875,1.0
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,2,216.0245019495687,258.8733486969832,4.12877302801508,4.795039769634183,6.916666666666666,7.916666666666666,5.0,18.98490300004596,0.1527463025000202,8.641893863677979,8.71875,1.0
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,2,220.74150670858288,264.6839103012064,4.218581968613163,4.902084012881611,6.2,7.2,4.5,18.971676500086687,0.14713188850004144,8.67528247833252,8.720703125,1.0
GSM8K,dflash2,Sequential-Baseline,baseline,,2,52.45408606455433,54.130655679265175,nan,nan,0.0,1.0,32.0,18.886684999984027,0.6100583219999862,10.230051040649414,10.3359375,1.0
GSM8K,dflash2,Raw-DFlash2,dflash2,,2,119.56811413213359,135.62851669308995,2.279250223731113,2.5053960646822344,2.7222222222222223,3.6597222222222223,8.5,24.48967850000372,0.26939926850002394,10.245556354522705,10.337890625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,2,112.72549732655855,124.5838109536071,2.1490549431733776,2.3015619510967653,2.5555555555555554,3.4444444444444446,9.0,18.98589149993768,0.2838901984999893,10.250705242156982,10.337890625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,2,123.47351788789081,137.69960998719603,2.3539330036750186,2.5438359037948075,3.0,3.875,8.0,18.77616800004489,0.2591659155000343,10.252921104431152,10.337890625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,2,131.87482428397504,148.89367631365974,2.5141189630968728,2.750645102433438,3.4285714285714284,4.428571428571429,7.0,19.254534999959105,0.24265953649995708,10.26630687713623,10.337890625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,2,130.5318035754857,146.6900980588643,2.488501615186598,2.709934747262979,3.5,4.428571428571429,7.0,18.992824500060124,0.2451510189999908,10.300123691558838,10.337890625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,2,142.06724911973248,161.2997426268712,2.708469122187868,2.9798846831636028,3.5,4.428571428571429,7.0,18.83403950000684,0.2252993360000346,10.250705242156982,10.3359375,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,2,133.76698733422305,156.90406106616132,2.5502933362228717,2.898621195394446,3.5714285714285716,4.428571428571429,7.0,25.813698499973725,0.23953036149998752,10.252921104431152,10.3359375,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,2,147.9362689259828,169.0880256144802,2.8200553482717305,3.123430953427456,3.9523809523809526,4.7976190476190474,6.5,18.877166499976283,0.21736089649999712,10.267157077789307,10.337890625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,2,144.96223875689026,165.1555294886597,2.7633315752703975,3.050757564210996,3.9523809523809526,4.7976190476190474,6.5,18.823777500017513,0.22211071499998525,10.300119400024414,10.337890625,1.0
GSM8K,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,2,137.81246407302865,155.7994223502284,2.627306906141558,2.8782213162953973,3.4285714285714284,4.428571428571429,7.0,18.79502849999426,0.2322002684999802,10.26630449295044,10.337890625,1.0
GSM8K,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,2,136.69565260298737,154.39585900641282,2.6060134423459855,2.852292070429339,3.5,4.428571428571429,7.0,18.806844999971872,0.23409694200000786,10.300119400024414,10.337890625,1.0
