dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,2,10.293469446332246,5.24730222489201,15.339636667772481,8.344765281003877,nan,nan,nan,2,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,2,29.34175179317392,27.957239676085194,30.726263910262645,26.021880171817763,nan,nan,nan,2,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,2,16.061444642007785,5.1623377221638975,26.960551561851673,12.217774474577437,nan,nan,nan,2,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,2,14.430435181404562,3.02243905047348,25.838431312335643,11.058446711440142,nan,nan,nan,2,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,2,22.49913498759887,10.611702459108926,34.38656751608882,19.752458400445576,nan,nan,nan,2,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,2,10.12380485295418,-0.39833102225483685,20.645940728163197,7.3589811631109425,nan,nan,nan,1,0,1
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,2,8.26658615390292,-3.2330446435644262,19.766216951370268,6.056149901504366,nan,nan,nan,1,0,1
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,2,-36.020163842311206,-42.53136135140565,-29.50896633321676,-21.052849656390364,-0.6935520435337055,-0.8098736040929357,-0.5772304829744752,0,0,2
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,2,-51.947726573441045,-80.40410455874738,-23.491348588134713,-26.449139903224676,-0.9989264659421782,-1.5512166677087595,-0.44663626417559676,0,0,2
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,2,-21.850882250551436,-43.45150579817496,-0.2502587029279084,-12.07562479895244,-0.42379003148484684,-0.8274378374076408,-0.020142225562052918,0,0,2
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,2,-68.08823302358589,-95.34797224556763,-40.82849380160414,-30.238974849540345,-1.3087176797433493,-1.8400382395959918,-0.7773971198907068,0,0,2
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,2,-24.82491241964398,-47.49419591420909,-2.1556289250788723,-13.792938161254638,-0.48051380448617986,-0.9046069739126579,-0.05642063505970185,0,0,2
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,2,-75.7792679516926,-91.20379474177147,-60.35474116161373,-33.98185660064476,-1.4552503933427663,-1.7605457500570112,-1.1499550366285214,0,0,2
GSM8K,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,2,117.45113607479668,106.22158360874673,128.68068854084663,224.38453797565774,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,2,133.37869880592652,109.6406757775757,157.11672183427734,254.921980216505,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,2,163.68848684783114,126.05767654427581,201.31929715138645,312.877302801508,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,2,168.40549160684532,141.54123378825128,195.26974942543933,321.8581968613164,nan,nan,nan,2,0,0
GSM8K,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,2,15.92756273112984,-19.040012763270937,50.895138225530616,10.800855239509943,nan,nan,nan,1,0,1
GSM8K,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,2,46.23735077303445,-2.623011996570824,95.09771354263972,29.279614626514945,nan,nan,nan,1,0,1
GSM8K,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,2,50.95435553204862,12.860545247404644,89.0481658166926,31.64585711229266,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,2,67.11402806757927,57.49060576373912,76.73745037141941,127.92502237311129,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,2,60.271411262004214,59.39191315444314,61.15090936956529,114.90549431733774,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,2,71.01943182333646,70.83984816203659,71.19901548463633,135.3933003675018,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,2,79.4207382194207,78.74447377796554,80.09700266087586,151.41189630968728,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,2,78.07771751093138,77.9612238053306,78.19421121653215,148.85016151865977,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,2,89.61316305517813,87.34915283052834,91.87717327982793,170.84691221878677,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,2,81.31290126966871,76.44631770952836,86.17948482980907,155.0293336222872,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,2,95.48218286142848,85.25934038303976,105.70502533981721,182.00553482717305,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,2,92.50815269233594,81.21665026700563,103.79965511766625,176.33315752703976,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,2,85.3583780084743,85.05908461165401,85.6576714052946,162.73069061415583,nan,nan,nan,2,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,2,84.24156653843302,84.03343816629598,84.44969491057006,160.60134423459857,nan,nan,nan,2,0,0
