dataset,is_primary,comparison_type,left_method,right_method,prompts,matched_tokens_gain,committed_tokens_gain,target_calls_avoided,draft_stage_ms_per_call_left,draft_stage_ms_per_call_right,draft_stage_ms_per_call_change,tree_overhead_ms_per_call,verify_stage_ms_per_call_left,verify_stage_ms_per_call_right,verify_stage_ms_per_call_change,net_tokens_per_second_gain
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,2,0.5714285714285716,0.5535714285714288,1.0,6.59398835715105,6.715508687470617,-0.12152033031956755,0.10407708039394947,20.38134664285605,20.281847499987293,0.09949914286875838,10.293469446332246
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,2,0.9444444444444446,0.9841269841269842,2.0,6.553501142840495,6.779402666672417,-0.2259015238319222,0.0770529127375345,20.0029228571371,20.00499827780307,-0.002075420665970995,29.34175179317392
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,2,0.523809523809524,0.36904761904761907,0.5,6.50543339285123,6.864626642855651,-0.35919325000442104,-0.23265611901971786,20.335674011900686,21.101691071424156,-0.7660170595234703,16.061444642007785
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,2,0.45238095238095233,0.36904761904761907,0.5,6.530008964272751,6.619507142862144,-0.08949817858939291,-1.1994842976394338,20.43179573810167,20.29422457141956,0.1375711666821111,14.430435181404562
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,2,0.7777777777777777,0.7688492063492065,1.5,6.553501142840495,6.274723138883726,0.2787780039567691,0.7246523571861222,20.0029228571371,21.129143048622407,-1.1262201914853058,22.49913498759887
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,2,0.523809523809524,0.36904761904761907,0.5,6.50543339285123,6.597163785711148,-0.09173039285991802,0.1229038809586177,20.335674011900686,20.40752164287239,-0.07184763097170332,10.12380485295418
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,2,0.45238095238095233,0.36904761904761907,0.5,6.530008964272751,6.562204999998553,-0.032196035725801764,0.1328586309666336,20.43179573810167,20.128258714269773,0.30353702383189685,8.26658615390292
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,2,-1.2619047619047619,-1.4047619047619047,-1.0,6.59398835715105,4.401826916658062,2.1921614404929874,0.8874481428620129,20.38134664285605,21.17075641666588,-0.7894097738098296,-36.020163842311206
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,2,-2.045238095238095,-2.188095238095238,-1.5,6.59398835715105,4.068679733368677,2.5253086237823723,0.38919840950863244,20.38134664285605,20.462329866667993,-0.08098322381194123,-51.947726573441045
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,2,-0.8809523809523812,-1.0357142857142856,-0.5,6.50543339285123,4.401826916658062,2.1036064761931677,1.176462666696428,20.335674011900686,21.17075641666588,-0.8350824047651955,-21.850882250551436
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,2,-2.9642857142857144,-3.1190476190476186,-1.5,6.50543339285123,3.6340772916882242,2.8713561011630055,0.6581240000116395,20.335674011900686,20.276607666687596,0.05906634521308973,-68.08823302358589
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,2,-0.8809523809523812,-1.0357142857142856,-0.5,6.530008964272751,4.401826916658062,2.128182047614689,1.775093916665225,20.43179573810167,21.17075641666588,-0.7389606785642115,-24.82491241964398
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,2,-2.2476190476190476,-2.4023809523809523,-2.0,6.530008964272751,4.030824825017021,2.49918413925573,1.1504087416389956,20.43179573810167,21.300423575016225,-0.8686278369145555,-75.7792679516926
