dataset,family,method,method_key,prompts,exact_output_rate,truncated_rate,stopped_rate
GSM8K,original,Sequential-Baseline,baseline,16,nan,0.6875,0.3125
GSM8K,original,Raw-DFlash,dflash,16,0.625,0.6875,0.3125
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,0.5625,0.6875,0.3125
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,16,0.3125,0.75,0.25
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,16,0.4375,0.75,0.25
GSM8K,dflash2,Sequential-Baseline,baseline,16,nan,0.6875,0.3125
GSM8K,dflash2,Raw-DFlash2,dflash2,16,0.5,0.75,0.25
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,16,0.4375,0.75,0.25
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,0.4375,0.6875,0.3125
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,16,0.6875,0.6875,0.3125
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,16,0.4375,0.75,0.25
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,16,0.5625,0.75,0.25
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,0.5625,0.75,0.25
GSM8K,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,16,0.5,0.6875,0.3125
GSM8K,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,16,0.5,0.6875,0.3125
GSM8K,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,16,0.6875,0.6875,0.3125
GSM8K,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,16,0.375,0.75,0.25
