dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,16,11.52939724120566,7.551496495044368,15.579495326948939,6.811058932973711,nan,nan,nan,15,0,1
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,16,5.964360357177734,2.7771807599142,8.954043669278718,3.9118314941342174,nan,nan,nan,13,0,3
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,16,14.788496196138352,9.382949534975737,20.352711635956872,8.631804032696962,nan,nan,nan,15,0,1
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,16,28.38640439481895,22.849541422119927,34.07155777678182,16.504555117449673,nan,nan,nan,16,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,16,3.250017566929169,-1.6825769673898818,8.554860819428912,2.3589442486842565,nan,nan,nan,9,0,7
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,16,13.504622456836408,8.126391096324856,18.957825988060694,7.837614346491543,nan,nan,nan,15,0,1
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,16,19.581458179023983,13.630457074263512,25.2818442206932,10.985561144430754,nan,nan,nan,15,0,1
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,16,-39.914216103353894,-53.71716982534058,-26.26422096016182,-15.969393249929583,-0.8589864815178512,-1.1320179304116995,-0.5884035675691103,1,0,15
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,16,-66.2006999947659,-78.7278654172204,-53.872154235754145,-25.280638331394066,-1.363692840291335,-1.60694280882695,-1.1204411799172596,0,0,16
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,16,-30.130669591255973,-43.51644692387446,-17.191146759845036,-11.610890716303569,-0.6757746748914385,-0.9478726184973545,-0.4171620212935196,1,0,15
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,16,-76.86056250434675,-93.16994445251215,-60.188522084696864,-26.894589379329165,-1.5730998794525788,-1.888124054919609,-1.2579809752845506,0,0,16
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,16,-22.544160792327823,-37.32042250514899,-8.518018310177755,-8.03405542669309,-0.5332524969162605,-0.8298658308488358,-0.2617320535995208,4,0,12
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,16,-81.43565809118135,-97.4617406683723,-65.9409365095258,-27.501430117182117,-1.664072740393191,-1.9736468049667484,-1.3636635707669553,0,0,16
GSM8K,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,16,174.8893713058911,154.74816234968827,194.65335232918613,335.9287640863141,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,16,201.17585519730312,183.69956939974736,218.78074276234165,386.3993999636625,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,16,221.61926421898187,200.31662781951587,243.36490602539348,425.66128454242823,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,16,233.78086860474463,212.98637721661788,254.82344843433714,449.0107884340072,nan,nan,nan,16,0,0
GSM8K,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,16,26.286483891411997,18.585088393625387,33.8735627825193,12.514436200820604,nan,nan,nan,15,0,1
GSM8K,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,16,46.72989291309078,39.30292635110833,53.876656733261974,21.163740001987744,nan,nan,nan,16,0,0
GSM8K,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,16,58.89149729885353,51.40667626304381,66.27140058226712,26.800915715481544,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,16,112.51894959085499,102.75982277618303,122.1178434454327,210.6344997572343,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,16,109.80460680060644,100.37359819048942,118.60680564650599,205.4907013463905,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,16,122.08221346981581,113.67562720882897,129.96453697846457,228.46224066500952,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,16,128.60666102698104,119.09954953781751,137.7210869905194,240.6274628209532,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,16,122.59526162722858,114.81009733751685,130.19915464738457,229.42441557354323,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,16,115.76896715778416,107.36384865861292,124.43578809438196,216.64338072384913,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,16,133.61161071102146,126.05870638930257,140.86454402555992,250.03011593452908,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,16,143.39515722311938,135.60709487759158,150.76092617065746,268.3512965971703,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,16,150.98166602204753,143.24835323077835,157.88845450951413,282.6035143946881,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,16,129.890534766283,120.40875282291191,139.2271313277045,243.02757506646864,nan,nan,nan,16,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,16,131.40020784302357,123.12076909511786,139.55366499671553,245.90154795448183,nan,nan,nan,16,0,0
