dataset,family,method,method_key,prompts,exact_output_rate,truncated_rate,stopped_rate
GSM8K,original,Sequential-Baseline,baseline,128,nan,0.625,0.375
GSM8K,original,Raw-DFlash,dflash,128,0.5546875,0.625,0.375
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,128,0.5546875,0.6328125,0.3671875
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,128,0.5078125,0.6484375,0.3515625
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,128,0.59375,0.6171875,0.3828125
GSM8K,dflash2,Sequential-Baseline,baseline,128,nan,0.625,0.375
GSM8K,dflash2,Raw-DFlash2,dflash2,128,0.4921875,0.6484375,0.3515625
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,128,0.5078125,0.625,0.375
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,128,0.578125,0.6328125,0.3671875
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,128,0.5625,0.625,0.375
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,128,0.53125,0.6171875,0.3828125
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,128,0.5234375,0.625,0.375
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,128,0.5703125,0.6328125,0.3671875
GSM8K,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,128,0.5078125,0.6171875,0.3828125
GSM8K,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,128,0.5546875,0.625,0.375
GSM8K,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,128,0.5703125,0.625,0.375
GSM8K,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,128,0.5234375,0.6171875,0.3828125
HumanEval,original,Sequential-Baseline,baseline,164,nan,0.9451219512195121,0.054878048780487854
HumanEval,original,Raw-DFlash,dflash,164,0.47560975609756095,0.926829268292683,0.07317073170731703
HumanEval,original,DFlash-Original-DDTree-B16,ddtree_tb16,164,0.3902439024390244,0.9390243902439024,0.060975609756097615
HumanEval,original,DFlash-Original-DDTree-B32,ddtree_tb32,164,0.4451219512195122,0.9451219512195121,0.054878048780487854
HumanEval,original,DFlash-Original-DDTree-B64,ddtree_tb64,164,0.4146341463414634,0.9390243902439024,0.060975609756097615
HumanEval,dflash2,Sequential-Baseline,baseline,164,nan,0.9451219512195121,0.054878048780487854
HumanEval,dflash2,Raw-DFlash2,dflash2,164,0.43902439024390244,0.9390243902439024,0.060975609756097615
HumanEval,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,164,0.4024390243902439,0.9451219512195121,0.054878048780487854
HumanEval,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,164,0.4268292682926829,0.9390243902439024,0.060975609756097615
HumanEval,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,164,0.43902439024390244,0.9451219512195121,0.054878048780487854
HumanEval,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,164,0.4695121951219512,0.9390243902439024,0.060975609756097615
HumanEval,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,164,0.3780487804878049,0.9512195121951219,0.04878048780487809
