dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
GSM8K,original,Sequential-Baseline,baseline,,128,53.07334995642381,53.310351552323766,nan,nan,0.0,1.0,237.5859375,19.483494510417643,4.486361339169293,8.643304347991943,8.796875,1.0
GSM8K,original,Raw-DFlash,dflash,,128,232.96909112099354,238.89991836033093,4.389290217169878,4.481049197333381,5.342432403926688,6.342432403926688,39.1796875,19.404703411446178,1.0495685196666513,8.672352313995361,8.796875,1.0
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,128,261.2225121958443,268.679188735751,4.921899449310513,5.039912290591376,6.260773510765249,7.260773510765249,33.953125,19.54417906252459,0.9301508981276403,8.680150508880615,8.796875,1.0
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,128,278.94626349461555,287.4377480671982,5.255407299152441,5.391318225656239,6.821095623340496,7.821095623340496,31.6171875,19.531059320345413,0.8725229547161485,8.688920974731445,8.796875,1.0
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,128,294.4507049086586,303.9567943416523,5.547484712359699,5.701077833362889,7.229070495409701,8.229070495409701,29.9375,19.455552208317073,0.8231509777526055,8.722873210906982,8.796875,1.0
GSM8K,dflash2,Sequential-Baseline,baseline,,128,49.69902328888664,49.916079600310134,nan,nan,0.0,1.0,237.5859375,20.31926576824361,4.791826548388016,10.270824432373047,10.416015625,1.0
GSM8K,dflash2,Raw-DFlash2,dflash2,,128,155.74186131763923,158.79171492063685,3.134170496448322,3.181666947263307,3.804776340822347,4.786835899468363,50.15625,20.554541109336338,1.5481657732083272,10.289126873016357,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,128,151.9833640740059,154.9554167675326,3.057594150731657,3.103853596789962,3.871402507743042,4.854572515759042,49.2734375,20.5207309244481,1.5824881103853627,10.292778968811035,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,128,163.32117922262398,166.76093955699014,3.285943431075684,3.340592117429178,4.3472315606546275,5.328084937681646,44.7578125,20.55834634891577,1.4671432283280836,10.298951148986816,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,128,169.27197876945417,172.95638989643433,3.4055575941310745,3.464555065435477,4.659682494292845,5.638344596050805,42.328125,20.461503236949362,1.4169106261223732,10.315017700195312,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,128,164.14042082924533,167.61326031068492,3.3019892701985802,3.3571931975667058,4.843985596011552,5.822396452803849,40.9296875,20.473436065136262,1.4606494481953263,10.34803056716919,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,128,158.35016567019423,161.56963743933707,3.186020503079046,3.236689131974255,4.095215629714607,5.075192757049475,47.0703125,20.480250434900427,1.5163742023775746,10.292444229125977,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,128,176.7888560678933,180.83844556958178,3.55713214995424,3.6228279807760257,4.822876055164606,5.800670211409666,41.1484375,20.694664098959002,1.3564280969192808,10.298951148986816,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,128,185.23573324700126,189.66454673736172,3.727336540667745,3.7998979347463817,5.17888682107651,6.155479012692599,38.703125,20.567320757772713,1.292217033687462,10.314036846160889,10.416015625,1.0
