dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,128,13.467676845269342,12.105156984109707,14.810107446396584,8.438551553318057,nan,nan,nan,121,0,7
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,128,6.366801596188354,4.881867077304134,7.855233090288728,4.372940138073074,nan,nan,nan,102,0,26
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,128,15.96375447754714,14.413564495523435,17.464709809809133,9.658753754032034,nan,nan,nan,124,0,4
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,128,24.876403252083836,23.08731753729583,26.691957771085278,15.545621191146,nan,nan,nan,128,0,0
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,128,2.608304352555,1.2429707473837235,3.979903174094619,1.889524225801543,nan,nan,nan,75,0,53
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,128,14.09655678343757,12.593911867627316,15.609878522897887,8.425452849034492,nan,nan,nan,122,0,6
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,128,15.256827924121652,13.62645373681678,16.933203309002113,9.035086211292375,nan,nan,nan,123,0,5
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,128,-56.1802350531002,-61.316206585687134,-51.13008622215626,-22.767709574070768,-0.8321580672156388,-0.9269968379099812,-0.7366332749992438,3,0,125
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,128,-84.43365612795091,-89.43106531886886,-79.5581215766724,-31.541539290347984,-1.3647672993562734,-1.4567863441967757,-1.276850039255033,0,0,128
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,128,-47.73335787399225,-52.87379720064137,-42.52894280180727,-19.040765958849743,-0.6619536765021334,-0.7592283296626692,-0.5699059698713874,7,0,121
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,128,-93.71053024761426,-99.12032156271378,-88.39689625529972,-32.751429119661005,-1.5280707584846969,-1.6286217780244776,-1.4274481643922385,0,0,128
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,128,-43.95226703966436,-49.27955416947423,-38.63302020927344,-17.323827360566654,-0.5862186945635732,-0.6876162191558859,-0.48769796470500193,6,0,122
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,128,-105.43388082732949,-111.07554208492975,-99.86951934777319,-35.055381028833466,-1.7444131897533928,-1.85168565327441,-1.6411135623275213,0,0,128
GSM8K,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,128,179.8957411645697,173.14398511537865,186.78351139838045,338.92902171698785,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,128,208.1491622394204,201.68261668797308,214.8085387555322,392.1899449310513,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,128,225.8729135381917,218.81033251253757,232.86206368624298,425.54072991524424,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,128,241.37735495223478,234.14646973165665,248.6240275577691,454.7484712359698,nan,nan,nan,128,0,0
GSM8K,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,128,28.253421074850714,25.612882103541406,30.86873055242481,12.78611669661748,nan,nan,nan,127,0,1
GSM8K,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,128,45.977172373622004,43.15100268573512,48.73736176161764,20.40277860157065,nan,nan,nan,128,0,0
GSM8K,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,128,61.481613787665104,58.30028490542469,64.67583816947207,27.305850471451805,nan,nan,nan,127,0,1
GSM8K,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,128,106.0428380287526,103.0858591438538,108.98229106674161,213.4170496448322,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,128,102.28434078511924,99.49463360403622,105.01627143990358,205.7594150731657,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,128,113.62215593373733,111.02360711183904,116.24752713402714,228.59434310756842,nan,nan,nan,128,0,0
