method_key,method,budget,evaluated,passed,pass_at_1,evalplus_result
baseline,target-only,,164,91,0.5548780487804879,baseline-sanitized_eval_results.json
dflash2,dflash2,,164,89,0.5426829268292683,dflash2-sanitized_eval_results.json
dflash2_original_ddtree_tb16,dflash2-original-ddtree,16,164,88,0.5365853658536586,dflash2_original_ddtree_tb16-sanitized_eval_results.json
dflash2_original_ddtree_tb32,dflash2-original-ddtree,32,164,86,0.524390243902439,dflash2_original_ddtree_tb32-sanitized_eval_results.json
dflash2_original_ddtree_tb64,dflash2-original-ddtree,64,164,89,0.5426829268292683,dflash2_original_ddtree_tb64-sanitized_eval_results.json
dflash2_original_ddtree_tb7,dflash2-original-ddtree,7,164,91,0.5548780487804879,dflash2_original_ddtree_tb7-sanitized_eval_results.json
dflash2_pairwise_k16_tb16,pairwise,16,164,89,0.5426829268292683,dflash2_pairwise_k16_tb16-sanitized_eval_results.json
dflash2_pairwise_k16_tb32,pairwise,32,164,90,0.5487804878048781,dflash2_pairwise_k16_tb32-sanitized_eval_results.json
dflash2_pairwise_k16_tb64,pairwise,64,164,91,0.5548780487804879,dflash2_pairwise_k16_tb64-sanitized_eval_results.json
dflash2_pairwise_k16_tb7,pairwise,7,164,88,0.5365853658536586,dflash2_pairwise_k16_tb7-sanitized_eval_results.json
dflash2_unary_k16_tb32,unary,32,164,87,0.5304878048780488,dflash2_unary_k16_tb32-sanitized_eval_results.json
dflash2_unary_k16_tb64,unary,64,164,89,0.5426829268292683,dflash2_unary_k16_tb64-sanitized_eval_results.json
